quark:blocks/acacia_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:acacia_bookshelf quark:blocks/acacia_bookshelf
quark:blocks/stripped_oak_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_oak_post quark:stripped_oak_post
quark:blocks/stripped_spruce_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_spruce_post quark:stripped_spruce_post
quark:blocks/stripped_warped_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/stripped_warped_post quark:stripped_warped_post
quark:blocks/sturdy_stone | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/sturdy_stone quark:sturdy_stone
quark:blocks/sugar_cane_block | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/sugar_cane_block quark:sugar_cane_block
quark:blocks/thatch | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/thatch quark:thatch
quark:blocks/thatch_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/thatch_slab quark:thatch_slab
quark:blocks/thatch_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/thatch_stairs quark:thatch_stairs
quark:blocks/thatch_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/thatch_vertical_slab quark:thatch_vertical_slab
quark:blocks/tiny_potato | minecraft:block | minecraft:block minecraft:copy_components minecraft:custom_name minecraft:item minecraft:survives_explosion quark:blocks/tiny_potato quark:tiny_potato
quark:blocks/trapped_acacia_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_acacia_chest quark:trapped_acacia_chest
quark:blocks/trapped_ancient_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_ancient_chest quark:trapped_ancient_chest
quark:blocks/trapped_azalea_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_azalea_chest quark:trapped_azalea_chest
quark:blocks/trapped_bamboo_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_bamboo_chest quark:trapped_bamboo_chest
quark:blocks/trapped_birch_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_birch_chest quark:trapped_birch_chest
quark:blocks/trapped_blossom_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_blossom_chest quark:trapped_blossom_chest
quark:blocks/trapped_cherry_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_cherry_chest quark:trapped_cherry_chest
quark:blocks/trapped_crimson_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_crimson_chest quark:trapped_crimson_chest
quark:blocks/trapped_dark_oak_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_dark_oak_chest quark:trapped_dark_oak_chest
quark:blocks/trapped_jungle_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_jungle_chest quark:trapped_jungle_chest
quark:blocks/trapped_mangrove_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_mangrove_chest quark:trapped_mangrove_chest
quark:blocks/trapped_nether_brick_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_nether_brick_chest quark:trapped_nether_brick_chest
quark:blocks/trapped_oak_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_oak_chest quark:trapped_oak_chest
quark:blocks/trapped_prismarine_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_prismarine_chest quark:trapped_prismarine_chest
quark:blocks/trapped_purpur_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_purpur_chest quark:trapped_purpur_chest
quark:blocks/trapped_spruce_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_spruce_chest quark:trapped_spruce_chest
quark:blocks/trapped_warped_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/trapped_warped_chest quark:trapped_warped_chest
quark:blocks/tuff_brick_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/tuff_brick_vertical_slab quark:tuff_brick_vertical_slab
quark:blocks/tuff_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/tuff_vertical_slab quark:tuff_vertical_slab
quark:blocks/vertical_acacia_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_acacia_planks quark:vertical_acacia_planks
quark:blocks/vertical_ancient_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_ancient_planks quark:vertical_ancient_planks
quark:blocks/vertical_azalea_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_azalea_planks quark:vertical_azalea_planks
quark:blocks/vertical_bamboo_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_bamboo_planks quark:vertical_bamboo_planks
quark:blocks/vertical_birch_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_birch_planks quark:vertical_birch_planks
quark:blocks/vertical_blossom_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_blossom_planks quark:vertical_blossom_planks
quark:blocks/vertical_cherry_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_cherry_planks quark:vertical_cherry_planks
quark:blocks/vertical_crimson_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_crimson_planks quark:vertical_crimson_planks
quark:blocks/vertical_dark_oak_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_dark_oak_planks quark:vertical_dark_oak_planks
quark:blocks/vertical_jungle_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_jungle_planks quark:vertical_jungle_planks
quark:blocks/vertical_mangrove_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_mangrove_planks quark:vertical_mangrove_planks
quark:blocks/vertical_oak_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_oak_planks quark:vertical_oak_planks
quark:blocks/vertical_spruce_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_spruce_planks quark:vertical_spruce_planks
quark:blocks/vertical_warped_planks | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/vertical_warped_planks quark:vertical_warped_planks
quark:blocks/violet_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/violet_corundum quark:violet_corundum
quark:blocks/violet_corundum_cluster | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/violet_corundum_cluster quark:violet_corundum_cluster
quark:blocks/violet_corundum_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/violet_corundum_pane quark:violet_corundum_pane
quark:blocks/violet_crystal_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/violet_crystal_lamp quark:violet_crystal_lamp
quark:blocks/warped_bookshelf | minecraft:block | minecraft:alternatives minecraft:block minecraft:book minecraft:explosion_decay minecraft:item minecraft:match_tool minecraft:set_count minecraft:silk_touch quark:blocks/warped_bookshelf quark:warped_bookshelf
quark:blocks/warped_chest | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/warped_chest quark:warped_chest
quark:blocks/warped_ladder | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/warped_ladder quark:warped_ladder
quark:blocks/warped_post | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/warped_post quark:warped_post
quark:blocks/warped_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/warped_vertical_slab quark:warped_vertical_slab
quark:blocks/water_pink_petals | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:pink_petals minecraft:set_count quark:blocks/water_pink_petals quark:water_pink_petals
quark:blocks/waxed_black_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/waxed_black_corundum quark:waxed_black_corundum
quark:blocks/waxed_blue_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/waxed_blue_corundum quark:waxed_blue_corundum
quark:blocks/waxed_cut_copper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/waxed_cut_copper_vertical_slab quark:waxed_cut_copper_vertical_slab
quark:blocks/waxed_exposed_cut_copper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/waxed_exposed_cut_copper_vertical_slab quark:waxed_exposed_cut_copper_vertical_slab
quark:blocks/waxed_green_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/waxed_green_corundum quark:waxed_green_corundum
quark:blocks/waxed_indigo_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/waxed_indigo_corundum quark:waxed_indigo_corundum
quark:blocks/waxed_orange_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/waxed_orange_corundum quark:waxed_orange_corundum
quark:blocks/waxed_oxidized_cut_copper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/waxed_oxidized_cut_copper_vertical_slab quark:waxed_oxidized_cut_copper_vertical_slab
quark:blocks/waxed_red_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/waxed_red_corundum quark:waxed_red_corundum
quark:blocks/waxed_violet_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/waxed_violet_corundum quark:waxed_violet_corundum
quark:blocks/waxed_weathered_cut_copper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/waxed_weathered_cut_copper_vertical_slab quark:waxed_weathered_cut_copper_vertical_slab
quark:blocks/waxed_white_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/waxed_white_corundum quark:waxed_white_corundum
quark:blocks/waxed_yellow_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/waxed_yellow_corundum quark:waxed_yellow_corundum
quark:blocks/weathered_cut_copper_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/weathered_cut_copper_vertical_slab quark:weathered_cut_copper_vertical_slab
quark:blocks/white_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/white_corundum quark:white_corundum
quark:blocks/white_corundum_cluster | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/white_corundum_cluster quark:white_corundum_cluster
quark:blocks/white_corundum_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/white_corundum_pane quark:white_corundum_pane
quark:blocks/white_crystal_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/white_crystal_lamp quark:white_crystal_lamp
quark:blocks/white_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/white_framed_glass quark:white_framed_glass
quark:blocks/white_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/white_framed_glass_pane quark:white_framed_glass_pane
quark:blocks/white_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/white_shingles quark:white_shingles
quark:blocks/white_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/white_shingles_slab quark:white_shingles_slab
quark:blocks/white_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/white_shingles_stairs quark:white_shingles_stairs
quark:blocks/white_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/white_shingles_vertical_slab quark:white_shingles_vertical_slab
quark:blocks/white_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/white_stool quark:white_stool
quark:blocks/yellow_blossom_hedge | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_blossom_hedge quark:yellow_blossom_hedge
quark:blocks/yellow_blossom_leaf_carpet | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_blossom_leaf_carpet quark:yellow_blossom_leaf_carpet
quark:blocks/yellow_blossom_leaves | minecraft:block | minecraft:alternatives minecraft:any_of minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:match_tool minecraft:set_count minecraft:shears minecraft:silk_touch minecraft:stick minecraft:survives_explosion minecraft:table_bonus minecraft:uniform quark:blocks/yellow_blossom_leaves quark:yellow_blossom_leaves quark:yellow_blossom_sapling
quark:blocks/yellow_blossom_sapling | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_blossom_sapling quark:yellow_blossom_sapling
quark:blocks/yellow_corundum | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_corundum quark:yellow_corundum
quark:blocks/yellow_corundum_cluster | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_corundum_cluster quark:yellow_corundum_cluster
quark:blocks/yellow_corundum_pane | minecraft:block | minecraft:block minecraft:item minecraft:match_tool minecraft:silk_touch quark:blocks/yellow_corundum_pane quark:yellow_corundum_pane
quark:blocks/yellow_crystal_lamp | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_crystal_lamp quark:yellow_crystal_lamp
quark:blocks/yellow_framed_glass | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_framed_glass quark:yellow_framed_glass
quark:blocks/yellow_framed_glass_pane | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_framed_glass_pane quark:yellow_framed_glass_pane
quark:blocks/yellow_shingles | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_shingles quark:yellow_shingles
quark:blocks/yellow_shingles_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/yellow_shingles_slab quark:yellow_shingles_slab
quark:blocks/yellow_shingles_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_shingles_stairs quark:yellow_shingles_stairs
quark:blocks/yellow_shingles_vertical_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count quark:blocks/yellow_shingles_vertical_slab quark:yellow_shingles_vertical_slab
quark:blocks/yellow_stool | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion quark:blocks/yellow_stool quark:yellow_stool
quark:demo/enchant_tome_function_demo | minecraft:gift | minecraft:air minecraft:feather_falling minecraft:gift minecraft:item minecraft:protection minecraft:set_lore minecraft:set_name quark:enchant_tome_function_demo quark:tome_enchant
quark:entities/crab | minecraft:entity | minecraft:any_of minecraft:enchanted_count_increase minecraft:entity minecraft:entity_properties minecraft:furnace_smelt minecraft:item minecraft:killed_by_player minecraft:linear minecraft:looting minecraft:random_chance_with_enchanted_bonus minecraft:set_count minecraft:uniform quark:crab_leg quark:crab_shell quark:entities/crab
quark:entities/forgotten | minecraft:entity | minecraft:arrow minecraft:bone minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:killed_by_player minecraft:looting minecraft:set_count minecraft:uniform quark:entities/forgotten quark:forgotten_hat
quark:entities/foxhound | minecraft:entity | minecraft:coal minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:leather minecraft:looting minecraft:set_count minecraft:uniform quark:entities/foxhound
quark:entities/stoneling | minecraft:entity | minecraft:entity minecraft:entity_properties minecraft:item minecraft:killed_by_player minecraft:linear minecraft:location_check minecraft:looting minecraft:random_chance_with_enchanted_bonus quark:diamond_heart quark:entities/stoneling quark:glimmering_weald quark:pathfinders_quill
quark:entities/toretoise | minecraft:entity | minecraft:entity quark:entities/toretoise
quark:entities/wraith | minecraft:entity | minecraft:enchanted_count_increase minecraft:entity minecraft:item minecraft:looting minecraft:set_count minecraft:uniform quark:entities/wraith quark:soul_bead
quark:inject/blocks/black_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:black_shard zeta:flag
quark:inject/blocks/blue_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:blue_shard zeta:flag
quark:inject/blocks/brown_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:brown_shard zeta:flag
quark:inject/blocks/cyan_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:cyan_shard zeta:flag
quark:inject/blocks/glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:clear_shard zeta:flag
quark:inject/blocks/gray_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:gray_shard zeta:flag
quark:inject/blocks/green_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:green_shard zeta:flag
quark:inject/blocks/light_blue_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:light_blue_shard zeta:flag
quark:inject/blocks/light_gray_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:light_gray_shard zeta:flag
quark:inject/blocks/lime_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:lime_shard zeta:flag
quark:inject/blocks/magenta_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:magenta_shard zeta:flag
quark:inject/blocks/orange_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:orange_shard zeta:flag
quark:inject/blocks/pink_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:pink_shard zeta:flag
quark:inject/blocks/purple_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:purple_shard zeta:flag
quark:inject/blocks/red_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:red_shard zeta:flag
quark:inject/blocks/white_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:white_shard zeta:flag
quark:inject/blocks/yellow_stained_glass | minecraft:block | minecraft:apply_bonus minecraft:block minecraft:explosion_decay minecraft:fortune minecraft:inverted minecraft:item minecraft:limit_count minecraft:match_tool minecraft:set_count minecraft:silk_touch minecraft:uniform minecraft:uniform_bonus_count quark:yellow_shard zeta:flag
quark:inject/gameplay/sniffer_digging | minecraft:block | minecraft:block minecraft:explosion_decay minecraft:item minecraft:limit_count minecraft:set_count minecraft:uniform quark:ancient_sapling zeta:flag
quark:misc/monster_box | minecraft:entity | minecraft:bone_block minecraft:book minecraft:bread minecraft:coal minecraft:cobweb minecraft:creeper_head minecraft:diamond minecraft:diamond_horse_armor minecraft:diamond_pickaxe minecraft:diamond_sword minecraft:enchant_randomly minecraft:entity minecraft:golden_apple minecraft:golden_horse_armor minecraft:infested_cobblestone minecraft:infested_stone minecraft:infested_stone_bricks minecraft:iron_horse_armor minecraft:item minecraft:music_disc_11 minecraft:music_disc_13 minecraft:music_disc_blocks minecraft:music_disc_cat minecraft:music_disc_chirp minecraft:music_disc_far minecraft:music_disc_mall minecraft:music_disc_mellohi minecraft:music_disc_stal minecraft:music_disc_strad minecraft:music_disc_wait minecraft:music_disc_ward minecraft:name_tag minecraft:rabbit_hide minecraft:raw_copper minecraft:raw_gold minecraft:raw_iron minecraft:saddle minecraft:skeleton_skull minecraft:tnt minecraft:zombie_head quark:misc/monster_box quark:monster_box
quark:misc/monster_box_spawns | ? | minecraft:cave_spider_spawn_egg minecraft:item minecraft:witch_spawn_egg minecraft:zombie_spawn_egg quark:misc/monster_box_spawns
quark:misc/stoneling_carry | minecraft:generic | minecraft:coal minecraft:creeper_head minecraft:diamond minecraft:diamond_horse_armor minecraft:emerald minecraft:ender_pearl minecraft:generic minecraft:gold_ingot minecraft:golden_apple minecraft:golden_horse_armor minecraft:iron_horse_armor minecraft:iron_ingot minecraft:item minecraft:lapis_lazuli minecraft:name_tag minecraft:redstone minecraft:saddle minecraft:zombie_head
quark:toretoise/coal | minecraft:block | minecraft:block minecraft:blocks/deepslate_coal_ore minecraft:loot_table
quark:toretoise/copper | minecraft:block | minecraft:block minecraft:blocks/deepslate_copper_ore minecraft:loot_table
quark:toretoise/iron | minecraft:block | minecraft:block minecraft:blocks/deepslate_iron_ore minecraft:loot_table
quark:toretoise/lapis | minecraft:block | minecraft:block minecraft:blocks/deepslate_lapis_ore minecraft:loot_table
quark:toretoise/redstone | minecraft:block | minecraft:block minecraft:blocks/deepslate_redstone_ore minecraft:loot_table
