more_slabs_stairs_and_walls:blocks/acacia_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:acacia_leaves_slab
more_slabs_stairs_and_walls:blocks/raw_gold_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:raw_gold_block_slab
more_slabs_stairs_and_walls:blocks/raw_gold_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:raw_gold_block_stairs
more_slabs_stairs_and_walls:blocks/raw_gold_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:raw_gold_block_wall
more_slabs_stairs_and_walls:blocks/raw_iron_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:raw_iron_block_slab
more_slabs_stairs_and_walls:blocks/raw_iron_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:raw_iron_block_stairs
more_slabs_stairs_and_walls:blocks/raw_iron_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:raw_iron_block_wall
more_slabs_stairs_and_walls:blocks/red_concrete_powder_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:red_concrete_powder_slab
more_slabs_stairs_and_walls:blocks/red_concrete_powder_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_concrete_powder_stairs
more_slabs_stairs_and_walls:blocks/red_concrete_powder_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_concrete_powder_wall
more_slabs_stairs_and_walls:blocks/red_concrete_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:red_concrete_slab
more_slabs_stairs_and_walls:blocks/red_concrete_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_concrete_stairs
more_slabs_stairs_and_walls:blocks/red_concrete_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_concrete_wall
more_slabs_stairs_and_walls:blocks/red_glazed_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:red_glazed_terracotta_slab
more_slabs_stairs_and_walls:blocks/red_glazed_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_glazed_terracotta_stairs
more_slabs_stairs_and_walls:blocks/red_glazed_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_glazed_terracotta_wall
more_slabs_stairs_and_walls:blocks/red_mushroom_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:red_mushroom_block_slab
more_slabs_stairs_and_walls:blocks/red_mushroom_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_mushroom_block_stairs
more_slabs_stairs_and_walls:blocks/red_mushroom_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_mushroom_block_wall
more_slabs_stairs_and_walls:blocks/red_sand_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:red_sand_slab
more_slabs_stairs_and_walls:blocks/red_sand_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_sand_stairs
more_slabs_stairs_and_walls:blocks/red_sand_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_sand_wall
more_slabs_stairs_and_walls:blocks/red_stained_glass_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:red_stained_glass_slab
more_slabs_stairs_and_walls:blocks/red_stained_glass_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_stained_glass_stairs
more_slabs_stairs_and_walls:blocks/red_stained_glass_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_stained_glass_wall
more_slabs_stairs_and_walls:blocks/red_terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:red_terracotta_slab
more_slabs_stairs_and_walls:blocks/red_terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_terracotta_stairs
more_slabs_stairs_and_walls:blocks/red_terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_terracotta_wall
more_slabs_stairs_and_walls:blocks/red_wool_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:red_wool_slab
more_slabs_stairs_and_walls:blocks/red_wool_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_wool_stairs
more_slabs_stairs_and_walls:blocks/red_wool_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:red_wool_wall
more_slabs_stairs_and_walls:blocks/redstone_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:redstone_block_slab
more_slabs_stairs_and_walls:blocks/redstone_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:redstone_block_stairs
more_slabs_stairs_and_walls:blocks/redstone_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:redstone_block_wall
more_slabs_stairs_and_walls:blocks/rooted_dirt_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:rooted_dirt_slab
more_slabs_stairs_and_walls:blocks/rooted_dirt_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:rooted_dirt_stairs
more_slabs_stairs_and_walls:blocks/rooted_dirt_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:rooted_dirt_wall
more_slabs_stairs_and_walls:blocks/sand_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:sand_slab
more_slabs_stairs_and_walls:blocks/sand_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:sand_stairs
more_slabs_stairs_and_walls:blocks/sand_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:sand_wall
more_slabs_stairs_and_walls:blocks/sculk_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:sculk_slab
more_slabs_stairs_and_walls:blocks/sculk_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:sculk_stairs
more_slabs_stairs_and_walls:blocks/sculk_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:sculk_wall
more_slabs_stairs_and_walls:blocks/sea_lantern_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:sea_lantern_slab
more_slabs_stairs_and_walls:blocks/sea_lantern_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:sea_lantern_stairs
more_slabs_stairs_and_walls:blocks/sea_lantern_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:sea_lantern_wall
more_slabs_stairs_and_walls:blocks/shroomlight_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:shroomlight_slab
more_slabs_stairs_and_walls:blocks/shroomlight_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:shroomlight_stairs
more_slabs_stairs_and_walls:blocks/shroomlight_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:shroomlight_wall
more_slabs_stairs_and_walls:blocks/slime_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:slime_block_slab
more_slabs_stairs_and_walls:blocks/slime_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:slime_block_stairs
more_slabs_stairs_and_walls:blocks/slime_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:slime_block_wall
more_slabs_stairs_and_walls:blocks/smooth_basalt_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:smooth_basalt_slab
more_slabs_stairs_and_walls:blocks/smooth_basalt_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:smooth_basalt_stairs
more_slabs_stairs_and_walls:blocks/smooth_basalt_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:smooth_basalt_wall
more_slabs_stairs_and_walls:blocks/smooth_quartz_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:smooth_quartz_wall
more_slabs_stairs_and_walls:blocks/smooth_red_sandstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:smooth_red_sandstone_wall
more_slabs_stairs_and_walls:blocks/smooth_sandstone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:smooth_sandstone_wall
more_slabs_stairs_and_walls:blocks/smooth_stone_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:smooth_stone_stairs
more_slabs_stairs_and_walls:blocks/smooth_stone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:smooth_stone_wall
more_slabs_stairs_and_walls:blocks/snow_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:snow_block_slab
more_slabs_stairs_and_walls:blocks/snow_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:snow_block_stairs
more_slabs_stairs_and_walls:blocks/snow_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:snow_block_wall
more_slabs_stairs_and_walls:blocks/soul_sand_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:soul_sand_slab
more_slabs_stairs_and_walls:blocks/soul_sand_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:soul_sand_stairs
more_slabs_stairs_and_walls:blocks/soul_sand_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:soul_sand_wall
more_slabs_stairs_and_walls:blocks/soul_soil_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:soul_soil_slab
more_slabs_stairs_and_walls:blocks/soul_soil_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:soul_soil_stairs
more_slabs_stairs_and_walls:blocks/soul_soil_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:soul_soil_wall
more_slabs_stairs_and_walls:blocks/spruce_leaves_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:spruce_leaves_slab
more_slabs_stairs_and_walls:blocks/spruce_leaves_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:spruce_leaves_stairs
more_slabs_stairs_and_walls:blocks/spruce_leaves_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:spruce_leaves_wall
more_slabs_stairs_and_walls:blocks/spruce_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:spruce_log_slab
more_slabs_stairs_and_walls:blocks/spruce_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:spruce_log_stairs
more_slabs_stairs_and_walls:blocks/spruce_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:spruce_log_wall
more_slabs_stairs_and_walls:blocks/spruce_planks_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:spruce_planks_wall
more_slabs_stairs_and_walls:blocks/spruce_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:spruce_wood_slab
more_slabs_stairs_and_walls:blocks/spruce_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:spruce_wood_stairs
more_slabs_stairs_and_walls:blocks/spruce_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:spruce_wood_wall
more_slabs_stairs_and_walls:blocks/stone_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stone_wall
more_slabs_stairs_and_walls:blocks/stripped_acacia_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_acacia_log_slab
more_slabs_stairs_and_walls:blocks/stripped_acacia_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_acacia_log_stairs
more_slabs_stairs_and_walls:blocks/stripped_acacia_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_acacia_log_wall
more_slabs_stairs_and_walls:blocks/stripped_acacia_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_acacia_wood_slab
more_slabs_stairs_and_walls:blocks/stripped_acacia_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_acacia_wood_stairs
more_slabs_stairs_and_walls:blocks/stripped_acacia_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_acacia_wood_wall
more_slabs_stairs_and_walls:blocks/stripped_bamboo_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_bamboo_block_slab
more_slabs_stairs_and_walls:blocks/stripped_bamboo_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_bamboo_block_stairs
more_slabs_stairs_and_walls:blocks/stripped_bamboo_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_bamboo_block_wall
more_slabs_stairs_and_walls:blocks/stripped_birch_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_birch_log_slab
more_slabs_stairs_and_walls:blocks/stripped_birch_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_birch_log_stairs
more_slabs_stairs_and_walls:blocks/stripped_birch_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_birch_log_wall
more_slabs_stairs_and_walls:blocks/stripped_birch_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_birch_wood_slab
more_slabs_stairs_and_walls:blocks/stripped_birch_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_birch_wood_stairs
more_slabs_stairs_and_walls:blocks/stripped_birch_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_birch_wood_wall
more_slabs_stairs_and_walls:blocks/stripped_cherry_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_cherry_log_slab
more_slabs_stairs_and_walls:blocks/stripped_cherry_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_cherry_log_stairs
more_slabs_stairs_and_walls:blocks/stripped_cherry_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_cherry_log_wall
more_slabs_stairs_and_walls:blocks/stripped_cherry_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_cherry_wood_slab
more_slabs_stairs_and_walls:blocks/stripped_cherry_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_cherry_wood_stairs
more_slabs_stairs_and_walls:blocks/stripped_cherry_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_cherry_wood_wall
more_slabs_stairs_and_walls:blocks/stripped_crimson_hyphae_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_crimson_hyphae_slab
more_slabs_stairs_and_walls:blocks/stripped_crimson_hyphae_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_crimson_hyphae_stairs
more_slabs_stairs_and_walls:blocks/stripped_crimson_hyphae_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_crimson_hyphae_wall
more_slabs_stairs_and_walls:blocks/stripped_crimson_stem_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_crimson_stem_slab
more_slabs_stairs_and_walls:blocks/stripped_crimson_stem_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_crimson_stem_stairs
more_slabs_stairs_and_walls:blocks/stripped_crimson_stem_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_crimson_stem_wall
more_slabs_stairs_and_walls:blocks/stripped_dark_oak_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_dark_oak_log_slab
more_slabs_stairs_and_walls:blocks/stripped_dark_oak_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_dark_oak_log_stairs
more_slabs_stairs_and_walls:blocks/stripped_dark_oak_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_dark_oak_log_wall
more_slabs_stairs_and_walls:blocks/stripped_dark_oak_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_dark_oak_wood_slab
more_slabs_stairs_and_walls:blocks/stripped_dark_oak_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_dark_oak_wood_stairs
more_slabs_stairs_and_walls:blocks/stripped_dark_oak_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_dark_oak_wood_wall
more_slabs_stairs_and_walls:blocks/stripped_jungle_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_jungle_log_slab
more_slabs_stairs_and_walls:blocks/stripped_jungle_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_jungle_log_stairs
more_slabs_stairs_and_walls:blocks/stripped_jungle_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_jungle_log_wall
more_slabs_stairs_and_walls:blocks/stripped_jungle_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_jungle_wood_slab
more_slabs_stairs_and_walls:blocks/stripped_jungle_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_jungle_wood_stairs
more_slabs_stairs_and_walls:blocks/stripped_jungle_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_jungle_wood_wall
more_slabs_stairs_and_walls:blocks/stripped_mangrove_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_mangrove_log_slab
more_slabs_stairs_and_walls:blocks/stripped_mangrove_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_mangrove_log_stairs
more_slabs_stairs_and_walls:blocks/stripped_mangrove_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_mangrove_log_wall
more_slabs_stairs_and_walls:blocks/stripped_mangrove_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_mangrove_wood_slab
more_slabs_stairs_and_walls:blocks/stripped_mangrove_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_mangrove_wood_stairs
more_slabs_stairs_and_walls:blocks/stripped_mangrove_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_mangrove_wood_wall
more_slabs_stairs_and_walls:blocks/stripped_oak_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_oak_log_slab
more_slabs_stairs_and_walls:blocks/stripped_oak_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_oak_log_stairs
more_slabs_stairs_and_walls:blocks/stripped_oak_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_oak_log_wall
more_slabs_stairs_and_walls:blocks/stripped_oak_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_oak_wood_slab
more_slabs_stairs_and_walls:blocks/stripped_oak_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_oak_wood_stairs
more_slabs_stairs_and_walls:blocks/stripped_oak_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_oak_wood_wall
more_slabs_stairs_and_walls:blocks/stripped_spruce_log_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_spruce_log_slab
more_slabs_stairs_and_walls:blocks/stripped_spruce_log_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_spruce_log_stairs
more_slabs_stairs_and_walls:blocks/stripped_spruce_log_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_spruce_log_wall
more_slabs_stairs_and_walls:blocks/stripped_spruce_wood_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_spruce_wood_slab
more_slabs_stairs_and_walls:blocks/stripped_spruce_wood_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_spruce_wood_stairs
more_slabs_stairs_and_walls:blocks/stripped_spruce_wood_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_spruce_wood_wall
more_slabs_stairs_and_walls:blocks/stripped_warped_hyphae_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_warped_hyphae_slab
more_slabs_stairs_and_walls:blocks/stripped_warped_hyphae_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_warped_hyphae_stairs
more_slabs_stairs_and_walls:blocks/stripped_warped_hyphae_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_warped_hyphae_wall
more_slabs_stairs_and_walls:blocks/stripped_warped_stem_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:stripped_warped_stem_slab
more_slabs_stairs_and_walls:blocks/stripped_warped_stem_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_warped_stem_stairs
more_slabs_stairs_and_walls:blocks/stripped_warped_stem_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:stripped_warped_stem_wall
more_slabs_stairs_and_walls:blocks/terracotta_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:terracotta_slab
more_slabs_stairs_and_walls:blocks/terracotta_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:terracotta_stairs
more_slabs_stairs_and_walls:blocks/terracotta_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:terracotta_wall
more_slabs_stairs_and_walls:blocks/tube_coral_block_slab | minecraft:block | minecraft:block minecraft:block_state_property minecraft:explosion_decay minecraft:item minecraft:set_count more_slabs_stairs_and_walls:tube_coral_block_slab
more_slabs_stairs_and_walls:blocks/tube_coral_block_stairs | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:tube_coral_block_stairs
more_slabs_stairs_and_walls:blocks/tube_coral_block_wall | minecraft:block | minecraft:block minecraft:item minecraft:survives_explosion more_slabs_stairs_and_walls:tube_coral_block_wall
