minecraft:archaelogy/jungle_ruins | minecraft:archaeology | minecraft:archaeology minecraft:arms_up_pottery_sherd minecraft:beetroot minecraft:black_wool minecraft:bone minecraft:book minecraft:brewer_pottery_sherd minecraft:brick minecraft:brown_dye minecraft:brown_stained_glass_pane minecraft:candle minecraft:carrot minecraft:cocoa_beans minecraft:danger_pottery_sherd minecraft:diamond minecraft:emerald minecraft:friend_pottery_sherd minecraft:glass_bottle minecraft:glass_pane minecraft:glow_berries minecraft:gold_ingot minecraft:heart_pottery_sherd minecraft:honey_bottle minecraft:honeycomb minecraft:iron_ingot minecraft:item minecraft:jungle_hanging_sign minecraft:jungle_planks minecraft:lapis_lazuli minecraft:lead minecraft:light_blue_stained_glass_pane minecraft:light_gray_stained_glass_pane minecraft:melon_seeds minecraft:melon_slice minecraft:name_tag minecraft:oak_hanging_sign minecraft:oak_planks minecraft:potato minecraft:prize_pottery_sherd minecraft:reference minecraft:saddle minecraft:shelter_pottery_sherd minecraft:skeleton_skull minecraft:sniffer_egg minecraft:snort_pottery_sherd minecraft:stick minecraft:stone_axe minecraft:stone_pickaxe minecraft:stone_shovel minecraft:wheat minecraft:white_wool minecraft:wild_armor_trim_smithing_template minecraft:yellow_candle nova_structures:loot_modifier
nova_structures:spawners/trident_trial_monument/ttm_drowned_ominous | minecraft:chest | minecraft:chest minecraft:cooked_salmon minecraft:emerald minecraft:gold_ingot minecraft:golden_apple minecraft:item minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strong_strength minecraft:uniform nova_structures:keys/trident_trial_key nova_structures:loot_modifier nova_structures:special_items/water_breathing_short_splash_potion
nova_structures:spawners/trident_trial_monument/ttm_elder_guardian | minecraft:chest | minecraft:chest minecraft:cooked_salmon minecraft:copper_ingot minecraft:emerald minecraft:emerald_block minecraft:heart_of_the_sea minecraft:iron_block minecraft:item minecraft:loot_table minecraft:reference minecraft:set_count minecraft:uniform nova_structures:keys/trident_trial_boss_key nova_structures:loot_modifier
nova_structures:spawners/trident_trial_monument/ttm_elder_guardian_ominous | minecraft:chest | minecraft:chest minecraft:cooked_cod minecraft:copper_block minecraft:emerald_block minecraft:gold_block minecraft:heart_of_the_sea minecraft:item minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strong_strength minecraft:uniform nova_structures:keys/trident_trial_boss_key nova_structures:loot_modifier
nova_structures:spawners/trident_trial_monument/ttm_generic | minecraft:chest | minecraft:chest minecraft:cooked_cod minecraft:copper_ingot minecraft:dried_kelp minecraft:item minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strength minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/water_breathing_short_splash_potion
nova_structures:spawners/trident_trial_monument/ttm_generic_ominous | minecraft:chest | minecraft:chest minecraft:cooked_salmon minecraft:copper_block minecraft:dried_kelp_block minecraft:golden_apple minecraft:item minecraft:long_water_breathing minecraft:loot_table minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strong_strength minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/water_breathing_short_splash_potion
nova_structures:spawners/trident_trial_monument/ttm_small_monument | minecraft:chest | minecraft:chest minecraft:emerald minecraft:item minecraft:loot_table minecraft:nautilus_shell minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strength minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/water_breathing_long_splash_potion
nova_structures:spawners/trident_trial_monument/ttm_small_monument_ominous | minecraft:chest | minecraft:chest minecraft:emerald_block minecraft:golden_apple minecraft:item minecraft:loot_table minecraft:nautilus_shell minecraft:potion minecraft:reference minecraft:set_count minecraft:set_potion minecraft:strong_strength minecraft:uniform nova_structures:loot_modifier nova_structures:special_items/water_breathing_short_splash_potion
nova_structures:special_items/blindness_lingering_potion | ? | minecraft:blindness minecraft:item minecraft:lingering_potion minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:special_items/curse_linger | ? | minecraft:item minecraft:lingering_potion minecraft:mining_fatigue minecraft:reference minecraft:set_components minecraft:set_name nova_structures:loot_modifier
nova_structures:special_items/dolphin_splash | ? | minecraft:dolphins_grace minecraft:item minecraft:reference minecraft:set_components minecraft:set_name minecraft:splash_potion nova_structures:loot_modifier
nova_structures:special_items/levitation_arrow | ? | minecraft:item minecraft:levitation minecraft:reference minecraft:set_components minecraft:tipped_arrow nova_structures:loot_modifier
nova_structures:special_items/levitation_lingering_potion | ? | minecraft:item minecraft:levitation minecraft:lingering_potion minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:special_items/levitation_potion | ? | minecraft:item minecraft:levitation minecraft:potion minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:special_items/levitation_splash_potion | ? | minecraft:item minecraft:levitation minecraft:reference minecraft:set_components minecraft:splash_potion nova_structures:loot_modifier
nova_structures:special_items/nausea_arrow | ? | minecraft:item minecraft:nausea minecraft:reference minecraft:set_components minecraft:tipped_arrow nova_structures:loot_modifier
nova_structures:special_items/nausea_lingering_potion | ? | minecraft:item minecraft:lingering_potion minecraft:nausea minecraft:reference minecraft:set_components nova_structures:loot_modifier
nova_structures:special_items/water_breathing_long_splash_potion | ? | minecraft:item minecraft:set_components minecraft:set_name minecraft:splash_potion minecraft:water_breathing
nova_structures:special_items/water_breathing_short_splash_potion | ? | minecraft:item minecraft:set_components minecraft:set_name minecraft:splash_potion minecraft:water_breathing
nova_structures:special_items/wither_arrow | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:tipped_arrow minecraft:wither nova_structures:loot_modifier
nova_structures:special_items/wither_lingering_potion | ? | minecraft:item minecraft:lingering_potion minecraft:reference minecraft:set_components minecraft:wither nova_structures:loot_modifier
nova_structures:special_items/wither_potion | ? | minecraft:item minecraft:potion minecraft:reference minecraft:set_components minecraft:wither nova_structures:loot_modifier
nova_structures:special_items/wither_splash_potion | ? | minecraft:item minecraft:reference minecraft:set_components minecraft:splash_potion minecraft:wither nova_structures:loot_modifier
nova_structures:tavern_quest | minecraft:chest | minecraft:chest minecraft:loot_table minecraft:reference nova_structures:loot_modifier nova_structures:maps/ancient_city nova_structures:maps/badlands_miner_outpost nova_structures:maps/creeping_crypt nova_structures:maps/desert_ruin nova_structures:maps/illager_hideout nova_structures:maps/illager_manor nova_structures:maps/jungle_ruin nova_structures:maps/lone_citadel nova_structures:maps/stray_fort nova_structures:maps/toxic_lair nova_structures:maps/trident_trial_monument nova_structures:maps/undead_crypt nova_structures:maps/witch_villa
