minecraft:repair_item | occultism:crafting_special_repairitem | occultism:crafting_special_repairitem
occultism:crafting/storage_controller_dark | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:dimensional_matrix occultism:storage_controller_base_dark occultism:storage_controller_dark
occultism:crafting/storage_remote_inert | minecraft:crafting_shaped | c:ingots/silver c:nuggets/iesnium minecraft:crafting_shaped occultism:otherstone_tablet occultism:spirit_attuned_gem occultism:storage_remote_inert
occultism:crafting/storage_stabilizer_tier0 | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:otherstone_pedestal occultism:storage_stabilizer_tier0
occultism:crafting/storage_stabilizer_tier0_dark | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:otherstone_pedestal_silver occultism:storage_stabilizer_tier0_dark
occultism:crafting/stripped_otherworld_wood | minecraft:crafting_shaped | minecraft:crafting_shaped occultism:stripped_otherworld_log occultism:stripped_otherworld_wood
occultism:crafting/tallow | minecraft:crafting_shapeless | minecraft:crafting_shapeless occultism:tallow occultism:tallow_block
occultism:crafting/tallow_block | minecraft:crafting_shapeless | c:tallow minecraft:crafting_shapeless occultism:tallow_block
occultism:crushing/adamant_dust_from_ingot | occultism:crushing | c:dusts/adamant c:ingots/adamant neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/allthemodium_dirty_dust_from_clump | occultism:crushing | c:clumps/allthemodium c:dirty_dusts/allthemodium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/allthemodium_dust_from_ingot | occultism:crushing | c:dusts/allthemodium c:ingots/allthemodium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/allthemodium_dust_from_ore | occultism:crushing | c:dusts/allthemodium c:ores/allthemodium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/allthemodium_dust_from_raw | occultism:crushing | c:dusts/allthemodium c:raw_materials/allthemodium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/allthemodium_dust_from_raw_block | occultism:crushing | c:dusts/allthemodium c:storage_blocks/raw_allthemodium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/aluminum_dirty_dust_from_clump | occultism:crushing | c:clumps/aluminum c:dirty_dusts/aluminum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/aluminum_dust_from_ingot | occultism:crushing | c:dusts/aluminum c:ingots/aluminum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/aluminum_dust_from_ore | occultism:crushing | c:dusts/aluminum c:ores/aluminum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/aluminum_dust_from_raw | occultism:crushing | c:dusts/aluminum c:raw_materials/aluminum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/aluminum_dust_from_raw_block | occultism:crushing | c:dusts/aluminum c:storage_blocks/raw_aluminum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/amber_dust_from_gem | occultism:crushing | c:dusts/amber c:gems/amber neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/amber_dust_from_ore | occultism:crushing | c:dusts/amber c:ores/amber neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/amethyst_dust_from_gem | occultism:crushing | c:dusts/amethyst c:gems/amethyst neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/annealed_copper_dust_from_ingot | occultism:crushing | c:dusts/annealed_copper c:ingots/annealed_copper neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/antimony_dirty_dust_from_clump | occultism:crushing | c:clumps/antimony c:dirty_dusts/antimony neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/antimony_dust_from_ingot | occultism:crushing | c:dusts/antimony c:ingots/antimony neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/antimony_dust_from_ore | occultism:crushing | c:dusts/antimony c:ores/antimony neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/antimony_dust_from_raw | occultism:crushing | c:dusts/antimony c:raw_materials/antimony neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/antimony_dust_from_raw_block | occultism:crushing | c:dusts/antimony c:storage_blocks/raw_antimony neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/apatite_dust_from_gem | occultism:crushing | c:dusts/apatite c:gems/apatite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/apatite_dust_from_ore | occultism:crushing | c:dusts/apatite c:ores/apatite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/arcane_crystal_dust_from_gem | occultism:crushing | c:dusts/arcane_crystal c:gems/arcane_crystal neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/arcane_crystal_dust_from_ore | occultism:crushing | c:dusts/arcane_crystal c:ores/arcane_crystal neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/azure_electrum_dust_from_ingot | occultism:crushing | c:dusts/azure_electrum c:ingots/azure_electrum neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/azure_silver_dirty_dust_from_clump | occultism:crushing | c:clumps/azure_silver c:dirty_dusts/azure_silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/azure_silver_dust_from_ingot | occultism:crushing | c:dusts/azure_silver c:ingots/azure_silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/azure_silver_dust_from_ore | occultism:crushing | c:dusts/azure_silver c:ores/azure_silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/azure_silver_dust_from_raw | occultism:crushing | c:dusts/azure_silver c:raw_materials/azure_silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/azure_silver_dust_from_raw_block | occultism:crushing | c:dusts/azure_silver c:storage_blocks/raw_azure_silver neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/battery_alloy_dust_from_ingot | occultism:crushing | c:dusts/battery_alloy c:ingots/battery_alloy neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/bauxite_dust_from_ore | occultism:crushing | c:dusts/bauxite c:ores/bauxite neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/beryllium_dust_from_ingot | occultism:crushing | c:dusts/beryllium c:ingots/beryllium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/biosteel_dust_from_ingot | occultism:crushing | c:dusts/biosteel c:ingots/biosteel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/black_quartz_dust_from_gem | occultism:crushing | c:dusts/black_quartz c:gems/black_quartz neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/black_quartz_dust_from_ore | occultism:crushing | c:dusts/black_quartz c:ores/black_quartz neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/blackstone_dust | occultism:crushing | c:dusts/blackstone minecraft:blackstone occultism:crushing occultism:tag
occultism:crushing/blaze_gold_dust_from_ingot | occultism:crushing | c:dusts/blaze_gold c:ingots/blaze_gold neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/blaze_powder_from_rod | occultism:crushing | c:rods/blaze minecraft:blaze_powder occultism:crushing occultism:item
occultism:crushing/blue_ice_dust | occultism:crushing | c:dusts/blue_ice minecraft:blue_ice occultism:crushing occultism:tag
occultism:crushing/bone_meal_from_bone | occultism:crushing | c:bones minecraft:bone_meal occultism:crushing occultism:item
occultism:crushing/brass_dust_from_ingot | occultism:crushing | c:dusts/brass c:ingots/brass neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/brick_dust | occultism:crushing | c:bricks/normal c:dusts/brick neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/bronze_dust_from_ingot | occultism:crushing | c:dusts/bronze c:ingots/bronze neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/cadmium_dust_from_ingot | occultism:crushing | c:dusts/cadmium c:ingots/cadmium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/calcite_dust | occultism:crushing | c:dusts/calcite minecraft:calcite occultism:crushing occultism:tag
occultism:crushing/carbon_dust_from_plate | occultism:crushing | c:dusts/carbon c:plates/carbon neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/certus_quartz_dust_from_gem | occultism:crushing | c:dusts/certus_quartz c:gems/certus_quartz neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/charcoal_dust_from_item | occultism:crushing | c:dusts/charcoal minecraft:charcoal neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/chromium_dust_from_ingot | occultism:crushing | c:dusts/chromium c:ingots/chromium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/cinnabar_dust_from_gem | occultism:crushing | c:dusts/cinnabar c:gems/cinnabar neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/cinnabar_dust_from_ore | occultism:crushing | c:dusts/cinnabar c:ores/cinnabar neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/coal_coke_dust | occultism:crushing | c:coal_coke c:dusts/coal_coke neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/coal_dust_from_item | occultism:crushing | c:dusts/coal minecraft:coal neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/coal_dust_from_ore | occultism:crushing | c:dusts/coal c:ores/coal neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/cobalt_dirty_dust_from_clump | occultism:crushing | c:clumps/cobalt c:dirty_dusts/cobalt neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/cobalt_dust_from_ingot | occultism:crushing | c:dusts/cobalt c:ingots/cobalt neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/cobalt_dust_from_ore | occultism:crushing | c:dusts/cobalt c:ores/cobalt neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/cobalt_dust_from_raw | occultism:crushing | c:dusts/cobalt c:raw_materials/cobalt neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/cobalt_dust_from_raw_block | occultism:crushing | c:dusts/cobalt c:storage_blocks/raw_cobalt neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/constantan_dust_from_ingot | occultism:crushing | c:dusts/constantan c:ingots/constantan neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/copper_dirty_dust_from_clump | occultism:crushing | c:clumps/copper c:dirty_dusts/copper neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/copper_dust_from_ingot | occultism:crushing | c:dusts/copper c:ingots/copper neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/copper_dust_from_ore | occultism:crushing | c:dusts/copper c:ores/copper neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/copper_dust_from_raw | occultism:crushing | c:dusts/copper c:raw_materials/copper neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/copper_dust_from_raw_block | occultism:crushing | c:dusts/copper c:storage_blocks/raw_copper neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/crimson_iron_dirty_dust_from_clump | occultism:crushing | c:clumps/crimson_iron c:dirty_dusts/crimson_iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/crimson_iron_dust_from_ingot | occultism:crushing | c:dusts/crimson_iron c:ingots/crimson_iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/crimson_iron_dust_from_ore | occultism:crushing | c:dusts/crimson_iron c:ores/crimson_iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/crimson_iron_dust_from_raw | occultism:crushing | c:dusts/crimson_iron c:raw_materials/crimson_iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/crimson_iron_dust_from_raw_block | occultism:crushing | c:dusts/crimson_iron c:storage_blocks/raw_crimson_iron neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/crimson_steel_dust_from_ingot | occultism:crushing | c:dusts/crimson_steel c:ingots/crimson_steel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/cupronickel_dust_from_ingot | occultism:crushing | c:dusts/cupronickel c:ingots/cupronickel neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/dark_gem_dust_from_gem | occultism:crushing | c:dusts/dark_gem c:gems/dark_gem neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/dark_gem_dust_from_ore | occultism:crushing | c:dusts/dark_gem c:ores/dark_gem neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/datura | occultism:crushing | c:crops/datura c:seeds/datura neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/diamond_dust_from_gem | occultism:crushing | c:dusts/diamond c:gems/diamond neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/diamond_dust_from_ore | occultism:crushing | c:dusts/diamond c:ores/diamond neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
occultism:crushing/duratium_dust_from_ingot | occultism:crushing | c:dusts/duratium c:ingots/duratium neoforge:not neoforge:tag_empty occultism:crushing occultism:tag
