recipe_integration:aether/freezing/biomeswevegone/packed_black_ice | aether:freezing | aether:freezing biomeswevegone:black_ice biomeswevegone:packed_black_ice neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/iridium | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:iridium_ingot modern_industrialization:raw_iridium neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/lead | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:lead_ingot modern_industrialization:raw_lead neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/nickel | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:nickel_ingot modern_industrialization:raw_nickel neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/silver | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_silver modern_industrialization:silver_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/modern_industrialization/tier3/tin | alloy_smelter:smelting | alloy_smelter:smelting modern_industrialization:raw_tin modern_industrialization:tin_ingot neoforge:mod_loaded
recipe_integration:alloy_smelter/occultism/tier1/double_iesnium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:iesnium_ingot occultism:raw_iesnium
recipe_integration:alloy_smelter/occultism/tier1/double_silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:raw_silver occultism:silver_ingot
recipe_integration:alloy_smelter/occultism/tier1/iesnium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:iesnium_ingot occultism:raw_iesnium
recipe_integration:alloy_smelter/occultism/tier1/silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:raw_silver occultism:silver_ingot
recipe_integration:alloy_smelter/occultism/tier2/double_iesnium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:iesnium_ingot occultism:raw_iesnium
recipe_integration:alloy_smelter/occultism/tier2/double_silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:raw_silver occultism:silver_ingot
recipe_integration:alloy_smelter/occultism/tier2/iesnium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:iesnium_ingot occultism:raw_iesnium
recipe_integration:alloy_smelter/occultism/tier2/silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:raw_silver occultism:silver_ingot
recipe_integration:alloy_smelter/occultism/tier3/double_iesnium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:iesnium_ingot occultism:raw_iesnium
recipe_integration:alloy_smelter/occultism/tier3/double_silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:raw_silver occultism:silver_ingot
recipe_integration:alloy_smelter/occultism/tier3/iesnium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:iesnium_ingot occultism:raw_iesnium
recipe_integration:alloy_smelter/occultism/tier3/silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded occultism:raw_silver occultism:silver_ingot
recipe_integration:alloy_smelter/oritech/tier1/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:nickel_ingot oritech:raw_nickel
recipe_integration:alloy_smelter/oritech/tier1/double_platinum | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:platinum_ingot oritech:raw_platinum
recipe_integration:alloy_smelter/oritech/tier1/nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:nickel_ingot oritech:raw_nickel
recipe_integration:alloy_smelter/oritech/tier1/platinum | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:platinum_ingot oritech:raw_platinum
recipe_integration:alloy_smelter/oritech/tier2/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:nickel_ingot oritech:raw_nickel
recipe_integration:alloy_smelter/oritech/tier2/double_platinum | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:platinum_ingot oritech:raw_platinum
recipe_integration:alloy_smelter/oritech/tier2/nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:nickel_ingot oritech:raw_nickel
recipe_integration:alloy_smelter/oritech/tier2/platinum | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:platinum_ingot oritech:raw_platinum
recipe_integration:alloy_smelter/oritech/tier3/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:nickel_ingot oritech:raw_nickel
recipe_integration:alloy_smelter/oritech/tier3/double_platinum | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:platinum_ingot oritech:raw_platinum
recipe_integration:alloy_smelter/oritech/tier3/nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:nickel_ingot oritech:raw_nickel
recipe_integration:alloy_smelter/oritech/tier3/platinum | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded oritech:platinum_ingot oritech:raw_platinum
recipe_integration:alloy_smelter/silentgear/tier1/azure_silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:azure_silver_ingot silentgear:raw_azure_silver
recipe_integration:alloy_smelter/silentgear/tier1/crimson_iron | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:crimson_iron_ingot silentgear:raw_crimson_iron
recipe_integration:alloy_smelter/silentgear/tier1/double_azure_silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:azure_silver_ingot silentgear:raw_azure_silver
recipe_integration:alloy_smelter/silentgear/tier1/double_crimson_iron | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:crimson_iron_ingot silentgear:raw_crimson_iron
recipe_integration:alloy_smelter/silentgear/tier2/azure_silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:azure_silver_ingot silentgear:raw_azure_silver
recipe_integration:alloy_smelter/silentgear/tier2/crimson_iron | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:crimson_iron_ingot silentgear:raw_crimson_iron
recipe_integration:alloy_smelter/silentgear/tier2/double_azure_silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:azure_silver_ingot silentgear:raw_azure_silver
recipe_integration:alloy_smelter/silentgear/tier2/double_crimson_iron | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:crimson_iron_ingot silentgear:raw_crimson_iron
recipe_integration:alloy_smelter/silentgear/tier3/azure_silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:azure_silver_ingot silentgear:raw_azure_silver
recipe_integration:alloy_smelter/silentgear/tier3/crimson_iron | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:crimson_iron_ingot silentgear:raw_crimson_iron
recipe_integration:alloy_smelter/silentgear/tier3/double_azure_silver | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:azure_silver_ingot silentgear:raw_azure_silver
recipe_integration:alloy_smelter/silentgear/tier3/double_crimson_iron | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded silentgear:crimson_iron_ingot silentgear:raw_crimson_iron
recipe_integration:alloy_smelter/stellaris/tier1/desh | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:desh_ingot stellaris:raw_desh_ingot
recipe_integration:alloy_smelter/stellaris/tier1/double_desh | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:desh_ingot stellaris:raw_desh_ingot
recipe_integration:alloy_smelter/stellaris/tier1/double_heavy_metal | alloy_smelter:smelting | alloy_smelter:smelting minecraft:iron_ingot neoforge:mod_loaded stellaris:heavy_metal_ingot
recipe_integration:alloy_smelter/stellaris/tier1/double_neptunium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:neptunium_ingot stellaris:raw_neptunium
recipe_integration:alloy_smelter/stellaris/tier1/double_steel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_steel_ingot stellaris:steel_ingot
recipe_integration:alloy_smelter/stellaris/tier1/double_uranium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_uranium stellaris:uranium_ingot
recipe_integration:alloy_smelter/stellaris/tier1/heavy_metal | alloy_smelter:smelting | alloy_smelter:smelting minecraft:iron_ingot neoforge:mod_loaded stellaris:heavy_metal_ingot
recipe_integration:alloy_smelter/stellaris/tier1/neptunium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:neptunium_ingot stellaris:raw_neptunium
recipe_integration:alloy_smelter/stellaris/tier1/steel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_steel_ingot stellaris:steel_ingot
recipe_integration:alloy_smelter/stellaris/tier1/uranium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_uranium stellaris:uranium_ingot
recipe_integration:alloy_smelter/stellaris/tier2/desh | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:desh_ingot stellaris:raw_desh_ingot
recipe_integration:alloy_smelter/stellaris/tier2/double_desh | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:desh_ingot stellaris:raw_desh_ingot
recipe_integration:alloy_smelter/stellaris/tier2/double_heavy_metal | alloy_smelter:smelting | alloy_smelter:smelting minecraft:iron_ingot neoforge:mod_loaded stellaris:heavy_metal_ingot
recipe_integration:alloy_smelter/stellaris/tier2/double_neptunium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:neptunium_ingot stellaris:raw_neptunium
recipe_integration:alloy_smelter/stellaris/tier2/double_steel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_steel_ingot stellaris:steel_ingot
recipe_integration:alloy_smelter/stellaris/tier2/double_uranium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_uranium stellaris:uranium_ingot
recipe_integration:alloy_smelter/stellaris/tier2/heavy_metal | alloy_smelter:smelting | alloy_smelter:smelting minecraft:iron_ingot neoforge:mod_loaded stellaris:heavy_metal_ingot
recipe_integration:alloy_smelter/stellaris/tier2/neptunium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:neptunium_ingot stellaris:raw_neptunium
recipe_integration:alloy_smelter/stellaris/tier2/steel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_steel_ingot stellaris:steel_ingot
recipe_integration:alloy_smelter/stellaris/tier2/uranium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_uranium stellaris:uranium_ingot
recipe_integration:alloy_smelter/stellaris/tier3/desh | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:desh_ingot stellaris:raw_desh_ingot
recipe_integration:alloy_smelter/stellaris/tier3/double_desh | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:desh_ingot stellaris:raw_desh_ingot
recipe_integration:alloy_smelter/stellaris/tier3/double_heavy_metal | alloy_smelter:smelting | alloy_smelter:smelting minecraft:iron_ingot neoforge:mod_loaded stellaris:heavy_metal_ingot
recipe_integration:alloy_smelter/stellaris/tier3/double_neptunium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:neptunium_ingot stellaris:raw_neptunium
recipe_integration:alloy_smelter/stellaris/tier3/double_steel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_steel_ingot stellaris:steel_ingot
recipe_integration:alloy_smelter/stellaris/tier3/double_uranium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_uranium stellaris:uranium_ingot
recipe_integration:alloy_smelter/stellaris/tier3/heavy_metal | alloy_smelter:smelting | alloy_smelter:smelting minecraft:iron_ingot neoforge:mod_loaded stellaris:heavy_metal_ingot
recipe_integration:alloy_smelter/stellaris/tier3/neptunium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:neptunium_ingot stellaris:raw_neptunium
recipe_integration:alloy_smelter/stellaris/tier3/steel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_steel_ingot stellaris:steel_ingot
recipe_integration:alloy_smelter/stellaris/tier3/uranium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded stellaris:raw_uranium stellaris:uranium_ingot
recipe_integration:alloy_smelter/tfmg/tier1/double_lead | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lead_ingot tfmg:raw_lead
recipe_integration:alloy_smelter/tfmg/tier1/double_lithium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lithium_ingot tfmg:raw_lithium
recipe_integration:alloy_smelter/tfmg/tier1/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:nickel_ingot tfmg:raw_nickel
recipe_integration:alloy_smelter/tfmg/tier1/lead | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lead_ingot tfmg:raw_lead
recipe_integration:alloy_smelter/tfmg/tier1/lithium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lithium_ingot tfmg:raw_lithium
recipe_integration:alloy_smelter/tfmg/tier1/nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:nickel_ingot tfmg:raw_nickel
recipe_integration:alloy_smelter/tfmg/tier2/double_lead | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lead_ingot tfmg:raw_lead
recipe_integration:alloy_smelter/tfmg/tier2/double_lithium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lithium_ingot tfmg:raw_lithium
recipe_integration:alloy_smelter/tfmg/tier2/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:nickel_ingot tfmg:raw_nickel
recipe_integration:alloy_smelter/tfmg/tier2/lead | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lead_ingot tfmg:raw_lead
recipe_integration:alloy_smelter/tfmg/tier2/lithium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lithium_ingot tfmg:raw_lithium
recipe_integration:alloy_smelter/tfmg/tier2/nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:nickel_ingot tfmg:raw_nickel
recipe_integration:alloy_smelter/tfmg/tier3/double_lead | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lead_ingot tfmg:raw_lead
recipe_integration:alloy_smelter/tfmg/tier3/double_lithium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lithium_ingot tfmg:raw_lithium
recipe_integration:alloy_smelter/tfmg/tier3/double_nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:nickel_ingot tfmg:raw_nickel
recipe_integration:alloy_smelter/tfmg/tier3/lead | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lead_ingot tfmg:raw_lead
recipe_integration:alloy_smelter/tfmg/tier3/lithium | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:lithium_ingot tfmg:raw_lithium
recipe_integration:alloy_smelter/tfmg/tier3/nickel | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded tfmg:nickel_ingot tfmg:raw_nickel
recipe_integration:alloy_smelter/undergarden/tier1/cloggrum | alloy_smelter:smelting | alloy_smelter:smelting neoforge:mod_loaded undergarden:cloggrum_ingot undergarden:raw_cloggrum
