justenoughbreeding:allay_duplication/minecraft/allay | justenoughbreeding:allay_duplication | justenoughbreeding:allay_duplication minecraft:allay minecraft:amethyst_shard
justenoughbreeding:breeding/brazilian_expansion/dwarf_caiman | justenoughbreeding:breeding | brazilian_expansion:dwarf_caiman brazilian_expansion:dwcaiman_egg brazilian_expansion:food_caimans justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/brazilian_expansion/garca_real | justenoughbreeding:breeding | brazilian_expansion:apaiari_raw brazilian_expansion:garca_real justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/brazilian_expansion/gaviao | justenoughbreeding:breeding | brazilian_expansion:food_gaviao brazilian_expansion:gaviao brazilian_expansion:gaviao_de_penacho_spawn_egg justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/brazilian_expansion/iguana | justenoughbreeding:breeding | brazilian_expansion:iguana brazilian_expansion:iguana_egg justenoughbreeding:breeding minecraft:apple neoforge:mod_loaded
justenoughbreeding:breeding/brazilian_expansion/irara | justenoughbreeding:breeding | brazilian_expansion:food_irara brazilian_expansion:irara justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/brazilian_expansion/jaguatirica | justenoughbreeding:breeding | brazilian_expansion:arowana_raw brazilian_expansion:jaguatirica brazilian_expansion:ocelot_spawn_egg brazilian_expansion:piraputanga_raw justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/brazilian_expansion/matamata | justenoughbreeding:breeding | brazilian_expansion:matamata brazilian_expansion:matamata_egg brazilian_expansion:piraputanga_raw justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/brazilian_expansion/quati | justenoughbreeding:breeding | brazilian_expansion:food_quati brazilian_expansion:quati justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/brazilian_expansion/tegu | justenoughbreeding:breeding | brazilian_expansion:food_tegu brazilian_expansion:tegu brazilian_expansion:tegu_egg justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/buzzier_bees/moobloom | justenoughbreeding:breeding | buzzier_bees:moobloom justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/chileancraft/codorniz | justenoughbreeding:breeding | chileancraft:codorniz chileancraft:semilla_de_choclo chileancraft:semilla_de_tomate_limachino justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/chococraft/chocobo | justenoughbreeding:breeding | chococraft:black_chocobo_spawn_egg chococraft:blue_chocobo_spawn_egg chococraft:chocobo chococraft:flame_chocobo_spawn_egg chococraft:gold_chocobo_spawn_egg chococraft:green_chocobo_spawn_egg chococraft:loverly_gysahl_green chococraft:pink_chocobo_spawn_egg chococraft:purple_chocobo_spawn_egg chococraft:red_chocobo_spawn_egg chococraft:white_chocobo_spawn_egg chococraft:yellow_chocobo_spawn_egg justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/cnb/cindershell | justenoughbreeding:breeding | cnb:cindershell cnb:cindershell_food justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/cnb/little_grebe | justenoughbreeding:breeding | cnb:little_grebe cnb:little_grebe_food justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/cnb/lizard | justenoughbreeding:breeding | cnb:apple_slice cnb:lizard cnb:lizard_egg cnb:lizard_item_desert cnb:lizard_item_desert_2 cnb:lizard_item_jungle cnb:lizard_item_jungle_2 cnb:lizard_item_mushroom cnb:lizard_spawn_egg justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/cnb/yeti | justenoughbreeding:breeding | cnb:yeti justenoughbreeding:breeding minecraft:sweet_berries neoforge:mod_loaded
justenoughbreeding:breeding/cnc/beaver | justenoughbreeding:breeding | cnc:beaver justenoughbreeding:breeding minecraft:apple neoforge:mod_loaded
justenoughbreeding:breeding/cnc/black_bear | justenoughbreeding:breeding | cnc:black_bear justenoughbreeding:breeding minecraft:sweet_berries neoforge:mod_loaded
justenoughbreeding:breeding/cnc/caribou | justenoughbreeding:breeding | cnc:caribou justenoughbreeding:breeding minecraft:red_mushroom neoforge:mod_loaded
justenoughbreeding:breeding/cnc/cougar | justenoughbreeding:breeding | cnc:cougar cnc:raw_venison justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/cnc/elk | justenoughbreeding:breeding | cnc:elk justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/cnc/giant_boar | justenoughbreeding:breeding | cnc:giant_boar justenoughbreeding:breeding minecraft:brown_mushroom minecraft:red_mushroom neoforge:mod_loaded
justenoughbreeding:breeding/cnc/goose | justenoughbreeding:breeding | cnc:goose justenoughbreeding:breeding minecraft:kelp neoforge:mod_loaded
justenoughbreeding:breeding/cnc/marmot | justenoughbreeding:breeding | cnc:marmot justenoughbreeding:breeding minecraft:dandelion neoforge:mod_loaded
justenoughbreeding:breeding/cnc/mouse | justenoughbreeding:breeding | cnc:mouse justenoughbreeding:breeding minecraft:pumpkin_seeds neoforge:mod_loaded
justenoughbreeding:breeding/cnc/mule_deer | justenoughbreeding:breeding | cnc:mule_deer justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/cnc/pit_viper | justenoughbreeding:breeding | cnc:pit_viper justenoughbreeding:breeding minecraft:rabbit neoforge:mod_loaded
justenoughbreeding:breeding/cnc/rattlesnake | justenoughbreeding:breeding | cnc:rattlesnake justenoughbreeding:breeding minecraft:rabbit neoforge:mod_loaded
justenoughbreeding:breeding/cnc/ringtail | justenoughbreeding:breeding | cnc:ringtail justenoughbreeding:breeding minecraft:glow_berries neoforge:mod_loaded
justenoughbreeding:breeding/cnc/skunk | justenoughbreeding:breeding | cnc:skunk justenoughbreeding:breeding minecraft:egg neoforge:mod_loaded
justenoughbreeding:breeding/cnc/snake | justenoughbreeding:breeding | cnc:snake justenoughbreeding:breeding minecraft:rabbit neoforge:mod_loaded
justenoughbreeding:breeding/cnc/timber_wolf | justenoughbreeding:breeding | cnc:timber_wolf justenoughbreeding:breeding minecraft:rotten_flesh neoforge:mod_loaded
justenoughbreeding:breeding/cnc/turkey | justenoughbreeding:breeding | cnc:turkey justenoughbreeding:breeding minecraft:pumpkin_seeds neoforge:mod_loaded
justenoughbreeding:breeding/cnc/white_tailed_deer | justenoughbreeding:breeding | cnc:white_tailed_deer justenoughbreeding:breeding minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/cnc/wolverine | justenoughbreeding:breeding | cnc:raw_venison cnc:wolverine justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/cold_sweat/chameleon | justenoughbreeding:breeding | cold_sweat:chameleon cold_sweat:chameleon/taming justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/cotw/moose | justenoughbreeding:breeding | cotw:moose justenoughbreeding:breeding minecraft:leaves neoforge:mod_loaded
justenoughbreeding:breeding/cotw/turkey | justenoughbreeding:breeding | cotw:turkey justenoughbreeding:breeding minecraft:beetroot_seeds minecraft:melon_seeds minecraft:pumpkin_seeds minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/aardwolf | justenoughbreeding:breeding | creaturecraft:aardwolf creaturecraft:termite_drop justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/african_lion | justenoughbreeding:breeding | creaturecraft:african_lion justenoughbreeding:breeding minecraft:beef minecraft:chicken minecraft:mutton minecraft:porkchop neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/agama | justenoughbreeding:breeding | creaturecraft:agama justenoughbreeding:breeding minecraft:apple minecraft:carrot minecraft:golden_apple minecraft:melon_slice minecraft:potato minecraft:pumpkin_seeds minecraft:sugar_cane minecraft:sweet_berries minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/american_alligator | justenoughbreeding:breeding | creaturecraft:american_alligator justenoughbreeding:breeding minecraft:cod minecraft:cooked_cod minecraft:cooked_samon minecraft:pufferfish minecraft:salmon minecraft:tropical_fish neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/amur_leopard | justenoughbreeding:breeding | creaturecraft:amur_leopard justenoughbreeding:breeding minecraft:beef minecraft:chicken minecraft:cod minecraft:cooked_beef minecraft:cooked_chicken minecraft:cooked_porkchop minecraft:porkchop neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/arabian_oryx | justenoughbreeding:breeding | creaturecraft:arabian_oryx creaturecraft:buff_grass creaturecraft:sav_grass_short justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/argentine_tegu | justenoughbreeding:breeding | creaturecraft:argentine_tegu justenoughbreeding:breeding minecraft:apple minecraft:enchanted_golden_apple minecraft:golden_apple neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/baboon | justenoughbreeding:breeding | creaturecraft:baboon justenoughbreeding:breeding minecraft:apple minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:sweet_berries neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/bairds_tapir | justenoughbreeding:breeding | creaturecraft:bairds_tapir creaturecraft:buff_grass creaturecraft:sav_grass_short justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/beaver | justenoughbreeding:breeding | creaturecraft:baobab_sapling creaturecraft:beaver creaturecraft:mopane_sapling creaturecraft:palm_sapling justenoughbreeding:breeding minecraft:acacia_sapling minecraft:bamboo_sapling minecraft:birch_sapling minecraft:cherry_sapling minecraft:dark_oak_sapling minecraft:jungle_sapling minecraft:oak_sapling minecraft:spruce_sapling minecraft:stick neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/bison | justenoughbreeding:breeding | creaturecraft:bison justenoughbreeding:breeding minecraft:wheat minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/black_bear | justenoughbreeding:breeding | creaturecraft:black_bear justenoughbreeding:breeding minecraft:sweet_berries neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/black_caiman | justenoughbreeding:breeding | creaturecraft:black_caiman justenoughbreeding:breeding minecraft:cod minecraft:cooked_cod minecraft:cooked_samon minecraft:pufferfish minecraft:salmon minecraft:tropical_fish neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/black_rhino | justenoughbreeding:breeding | creaturecraft:baobab_leaves creaturecraft:black_rhino creaturecraft:savannah_bush_short creaturecraft:savannah_bush_tall justenoughbreeding:breeding minecraft:acacia_sapling neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/bobcat | justenoughbreeding:breeding | creaturecraft:bobcat justenoughbreeding:breeding minecraft:beef minecraft:cooked_beef neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/bongo | justenoughbreeding:breeding | creaturecraft:baobab_leaves creaturecraft:baobab_sapling creaturecraft:bongo creaturecraft:buff_grass creaturecraft:palm_leaves creaturecraft:palm_sapling creaturecraft:savannah_bush_short creaturecraft:savannah_bush_tall creaturecraft:savannah_grass_short creaturecraft:savannah_grass_tall justenoughbreeding:breeding neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/box_turtle | justenoughbreeding:breeding | creaturecraft:box_turtle justenoughbreeding:breeding minecraft:carrot minecraft:cookie minecraft:melon_seeds minecraft:melon_slice minecraft:potato minecraft:pumpkin_seeds minecraft:sugar_cane minecraft:sweet_berries minecraft:wheat minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/brazilian_tapir | justenoughbreeding:breeding | creaturecraft:brazilian_tapir creaturecraft:buff_grass creaturecraft:sav_grass_short justenoughbreeding:breeding minecraft:apple minecraft:carrot minecraft:golden_apple minecraft:seagrass minecraft:sugar_cane minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/brown_bear | justenoughbreeding:breeding | creaturecraft:brown_bear justenoughbreeding:breeding minecraft:apple minecraft:baked_potato minecraft:beef minecraft:beetroot minecraft:bread minecraft:carrot minecraft:chicken minecraft:cooked_beef minecraft:cooked_chicken minecraft:cooked_mutton minecraft:cooked_porkchop minecraft:cooked_rabbit minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:melon_seeds minecraft:melon_slice minecraft:mutton minecraft:poisonous_potato minecraft:porkchop minecraft:potato minecraft:pumpkin_pie minecraft:rabbit minecraft:rottten_flesh minecraft:sweet_berries minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/bush_elephant | justenoughbreeding:breeding | creaturecraft:baobab_leaves creaturecraft:bush_elephant justenoughbreeding:breeding minecraft:apple minecraft:bamboo minecraft:carrot minecraft:melon_slice minecraft:potato minecraft:pumpkin_pie minecraft:sugar_cane minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/bushdog | justenoughbreeding:breeding | creaturecraft:bushdog justenoughbreeding:breeding minecraft:beef minecraft:mutton neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/canada_lynx | justenoughbreeding:breeding | creaturecraft:canada_lynx justenoughbreeding:breeding minecraft:beef minecraft:cooked_beef neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/capybara | justenoughbreeding:breeding | creaturecraft:capybara justenoughbreeding:breeding minecraft:apple minecraft:carrot minecraft:golden_apple minecraft:melon_slice minecraft:sweet_berries minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/caribou | justenoughbreeding:breeding | creaturecraft:caribou justenoughbreeding:breeding minecraft:moss_block minecraft:moss_carpet minecraft:wheat minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/cassowary | justenoughbreeding:breeding | creaturecraft:cassowary justenoughbreeding:breeding minecraft:apple minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:melon_seeds minecraft:melon_slice minecraft:sweet_berries neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/cheetah | justenoughbreeding:breeding | creaturecraft:cheetah justenoughbreeding:breeding minecraft:chicken minecraft:cooked_mutton minecraft:cooked_porkchop minecraft:mutton minecraft:porkchop neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/crocodile | justenoughbreeding:breeding | creaturecraft:crocodile justenoughbreeding:breeding minecraft:cod minecraft:cooked_cod minecraft:cooked_samon minecraft:pufferfish minecraft:salmon minecraft:tropical_fish neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/dhole | justenoughbreeding:breeding | creaturecraft:dhole justenoughbreeding:breeding minecraft:beef neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/dikdik | justenoughbreeding:breeding | creaturecraft:dikdik justenoughbreeding:breeding minecraft:apple minecraft:golden_apple minecraft:golden_enchanted_apple minecraft:wheat minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/eland | justenoughbreeding:breeding | creaturecraft:baobab_leaves creaturecraft:baobab_sapling creaturecraft:buff_grass creaturecraft:eland creaturecraft:palm_leaves creaturecraft:palm_sapling creaturecraft:sav_grass_short creaturecraft:sav_grass_tall creaturecraft:savannah_bush_short creaturecraft:savannah_bush_tail justenoughbreeding:breeding minecraft:wheat minecraft:wheat_seeds neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/elk | justenoughbreeding:breeding | creaturecraft:elk justenoughbreeding:breeding minecraft:apple minecraft:baked_potato minecraft:carrot minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:grass minecraft:potato minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/forest_elephant | justenoughbreeding:breeding | creaturecraft:forest_elephant justenoughbreeding:breeding minecraft:apple minecraft:carrot minecraft:enchanted_golden_apple minecraft:golden_apple minecraft:melon_slice minecraft:potato minecraft:sugar minecraft:sugar_cane minecraft:wheat neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/giraffe | justenoughbreeding:breeding | creaturecraft:baobab_leaves creaturecraft:giraffe creaturecraft:savannah_bush_short creaturecraft:savannah_bush_tall justenoughbreeding:breeding minecraft:acacia_leaves minecraft:acacia_sapling neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/gold_tegu | justenoughbreeding:breeding | creaturecraft:gold_tegu justenoughbreeding:breeding minecraft:apple minecraft:enchanted_golden_apple minecraft:golden_apple neoforge:mod_loaded
justenoughbreeding:breeding/creaturecraft/greater_kudu | justenoughbreeding:breeding | creaturecraft:baobab_leaves creaturecraft:baobab_sapling creaturecraft:buff_grass creaturecraft:greater_kudu creaturecraft:palm_leaves creaturecraft:palm_sapling creaturecraft:sav_grass_short creaturecraft:sav_grass_tall creaturecraft:savannah_bush_short creaturecraft:savannah_bush_tall justenoughbreeding:breeding neoforge:mod_loaded
