quark:automation/crafting/chute | minecraft:crafting_shaped | c:rods/wooden minecraft:crafting_shaped minecraft:planks quark:chute zeta:flag
quark:building/crafting/iron_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped quark:iron_pillar quark:iron_plate_slab zeta:flag
quark:building/crafting/iron_plate | minecraft:crafting_shaped | c:ingots/iron minecraft:crafting_shaped quark:iron_plate zeta:flag
quark:building/crafting/ladders/acacia_ladder | minecraft:crafting_shaped | minecraft:acacia_planks minecraft:crafting_shaped minecraft:stick quark:acacia_ladder zeta:flag
quark:building/crafting/ladders/bamboo_ladder | minecraft:crafting_shaped | minecraft:bamboo_planks minecraft:crafting_shaped minecraft:stick quark:bamboo_ladder zeta:flag
quark:building/crafting/ladders/birch_ladder | minecraft:crafting_shaped | minecraft:birch_planks minecraft:crafting_shaped minecraft:stick quark:birch_ladder zeta:flag
quark:building/crafting/ladders/cherry_ladder | minecraft:crafting_shaped | minecraft:cherry_planks minecraft:crafting_shaped minecraft:stick quark:cherry_ladder zeta:flag
quark:building/crafting/ladders/crimson_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:crimson_planks minecraft:stick quark:crimson_ladder zeta:flag
quark:building/crafting/ladders/dark_oak_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_planks minecraft:stick quark:dark_oak_ladder zeta:flag
quark:building/crafting/ladders/jungle_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_planks minecraft:stick quark:jungle_ladder zeta:flag
quark:building/crafting/ladders/mangrove_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_planks minecraft:stick quark:mangrove_ladder zeta:flag
quark:building/crafting/ladders/oak_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:ladder minecraft:oak_planks minecraft:stick zeta:flag
quark:building/crafting/ladders/spruce_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_planks minecraft:stick quark:spruce_ladder zeta:flag
quark:building/crafting/ladders/warped_ladder | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stick minecraft:warped_planks quark:warped_ladder zeta:flag
quark:building/crafting/lamps/black_corundum_lamp | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped quark:black_corundum quark:black_crystal_lamp zeta:flag
quark:building/crafting/lamps/black_crsytal_lamp | minecraft:crafting_shaped | c:dusts/glowstone c:dusts/redstone minecraft:amethyst_block minecraft:black_dye minecraft:crafting_shaped neoforge:not neoforge:or quark:black_crystal_lamp zeta:flag
quark:building/crafting/lamps/blue_corundum_lamp | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped quark:blue_corundum quark:blue_crystal_lamp zeta:flag
quark:building/crafting/lamps/blue_crsytal_lamp | minecraft:crafting_shaped | c:dusts/glowstone c:dusts/redstone minecraft:amethyst_block minecraft:crafting_shaped minecraft:light_blue_dye neoforge:not neoforge:or quark:blue_crystal_lamp zeta:flag
quark:building/crafting/lamps/green_corundum_lamp | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped quark:green_corundum quark:green_crystal_lamp zeta:flag
quark:building/crafting/lamps/green_crsytal_lamp | minecraft:crafting_shaped | c:dusts/glowstone c:dusts/redstone minecraft:amethyst_block minecraft:crafting_shaped minecraft:green_dye neoforge:not neoforge:or quark:green_crystal_lamp zeta:flag
quark:building/crafting/lamps/indigo_corundum_lamp | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped quark:indigo_corundum quark:indigo_crystal_lamp zeta:flag
quark:building/crafting/lamps/indigo_crsytal_lamp | minecraft:crafting_shaped | c:dusts/glowstone c:dusts/redstone minecraft:amethyst_block minecraft:blue_dye minecraft:crafting_shaped neoforge:not neoforge:or quark:indigo_crystal_lamp zeta:flag
quark:building/crafting/lamps/orange_corundum_lamp | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped quark:orange_corundum quark:orange_crystal_lamp zeta:flag
quark:building/crafting/lamps/orange_crsytal_lamp | minecraft:crafting_shaped | c:dusts/glowstone c:dusts/redstone minecraft:amethyst_block minecraft:crafting_shaped minecraft:orange_dye neoforge:not neoforge:or quark:orange_crystal_lamp zeta:flag
quark:building/crafting/lamps/red_corundum_lamp | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped quark:red_corundum quark:red_crystal_lamp zeta:flag
quark:building/crafting/lamps/red_crsytal_lamp | minecraft:crafting_shaped | c:dusts/glowstone c:dusts/redstone minecraft:amethyst_block minecraft:crafting_shaped minecraft:red_dye neoforge:not neoforge:or quark:red_crystal_lamp zeta:flag
quark:building/crafting/lamps/violet_corundum_lamp | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped quark:violet_corundum quark:violet_crystal_lamp zeta:flag
quark:building/crafting/lamps/violet_crsytal_lamp | minecraft:crafting_shaped | c:dusts/glowstone c:dusts/redstone minecraft:amethyst_block minecraft:crafting_shaped minecraft:pink_dye neoforge:not neoforge:or quark:violet_crystal_lamp zeta:flag
quark:building/crafting/lamps/white_corundum_lamp | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped quark:white_corundum quark:white_crystal_lamp zeta:flag
quark:building/crafting/lamps/white_crsytal_lamp | minecraft:crafting_shaped | c:dusts/glowstone c:dusts/redstone minecraft:amethyst_block minecraft:crafting_shaped minecraft:white_dye neoforge:not neoforge:or quark:white_crystal_lamp zeta:flag
quark:building/crafting/lamps/yellow_corundum_lamp | minecraft:crafting_shaped | c:dusts/redstone minecraft:crafting_shaped quark:yellow_corundum quark:yellow_crystal_lamp zeta:flag
quark:building/crafting/lamps/yellow_crsytal_lamp | minecraft:crafting_shaped | c:dusts/glowstone c:dusts/redstone minecraft:amethyst_block minecraft:crafting_shaped minecraft:yellow_dye neoforge:not neoforge:or quark:yellow_crystal_lamp zeta:flag
quark:building/crafting/leafcarpet/acacia_leaf_carpet | minecraft:crafting_shaped | minecraft:acacia_leaves minecraft:crafting_shaped quark:acacia_leaf_carpet zeta:flag
quark:building/crafting/leafcarpet/azalea_leaf_carpet | minecraft:crafting_shaped | minecraft:azalea_leaves minecraft:crafting_shaped quark:azalea_leaf_carpet zeta:flag
quark:building/crafting/leafcarpet/birch_leaf_carpet | minecraft:crafting_shaped | minecraft:birch_leaves minecraft:crafting_shaped quark:birch_leaf_carpet zeta:flag
quark:building/crafting/leafcarpet/cherry_leaf_carpet | minecraft:crafting_shaped | minecraft:cherry_leaves minecraft:crafting_shaped quark:cherry_leaf_carpet zeta:flag
quark:building/crafting/leafcarpet/dark_oak_leaf_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_leaves quark:dark_oak_leaf_carpet zeta:flag
quark:building/crafting/leafcarpet/flowering_azalea_leaf_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:flowering_azalea_leaves quark:flowering_azalea_leaf_carpet zeta:flag
quark:building/crafting/leafcarpet/jungle_leaf_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_leaves quark:jungle_leaf_carpet zeta:flag
quark:building/crafting/leafcarpet/mangrove_leaf_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_leaves quark:mangrove_leaf_carpet zeta:flag
quark:building/crafting/leafcarpet/oak_leaf_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_leaves quark:oak_leaf_carpet zeta:flag
quark:building/crafting/leafcarpet/spruce_leaf_carpet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_leaves quark:spruce_leaf_carpet zeta:flag
quark:building/crafting/midori_block | minecraft:crafting_shaped | minecraft:crafting_shaped quark:midori_block quark:moss_paste zeta:flag
quark:building/crafting/midori_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped quark:midori_block_slab quark:midori_pillar zeta:flag
quark:building/crafting/mossy_cobblestone_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mossy_cobblestone quark:mossy_cobblestone_bricks zeta:flag
quark:building/crafting/mud_brick_lattice | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mud_bricks quark:mud_brick_lattice zeta:flag
quark:building/crafting/mud_pillar | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mud_brick_slab quark:mud_pillar zeta:flag
quark:building/crafting/netherrack_bricks | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:netherrack quark:cobblestone_bricks quark:netherrack_bricks zeta:flag
quark:building/crafting/panes/black_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:black_framed_glass quark:black_framed_glass_pane zeta:flag
quark:building/crafting/panes/blue_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:blue_framed_glass quark:blue_framed_glass_pane zeta:flag
quark:building/crafting/panes/brown_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:brown_framed_glass quark:brown_framed_glass_pane zeta:flag
quark:building/crafting/panes/cyan_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:cyan_framed_glass quark:cyan_framed_glass_pane zeta:flag
quark:building/crafting/panes/framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:framed_glass quark:framed_glass_pane zeta:flag
quark:building/crafting/panes/gray_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:gray_framed_glass quark:gray_framed_glass_pane zeta:flag
quark:building/crafting/panes/green_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:green_framed_glass quark:green_framed_glass_pane zeta:flag
quark:building/crafting/panes/light_blue_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:light_blue_framed_glass quark:light_blue_framed_glass_pane zeta:flag
quark:building/crafting/panes/light_gray_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:light_gray_framed_glass quark:light_gray_framed_glass_pane zeta:flag
quark:building/crafting/panes/lime_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:lime_framed_glass quark:lime_framed_glass_pane zeta:flag
quark:building/crafting/panes/magenta_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:magenta_framed_glass quark:magenta_framed_glass_pane zeta:flag
quark:building/crafting/panes/orange_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:orange_framed_glass quark:orange_framed_glass_pane zeta:flag
quark:building/crafting/panes/paper_wall | minecraft:crafting_shaped | minecraft:bamboo minecraft:crafting_shaped minecraft:paper quark:paper_wall zeta:flag
quark:building/crafting/panes/paper_wall_big | minecraft:crafting_shaped | minecraft:crafting_shaped quark:paper_wall quark:paper_wall_big zeta:flag
quark:building/crafting/panes/paper_wall_sakura | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:saplings quark:paper_wall quark:paper_wall_sakura zeta:flag
quark:building/crafting/panes/pink_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:pink_framed_glass quark:pink_framed_glass_pane zeta:flag
quark:building/crafting/panes/purple_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:purple_framed_glass quark:purple_framed_glass_pane zeta:flag
quark:building/crafting/panes/red_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:red_framed_glass quark:red_framed_glass_pane zeta:flag
quark:building/crafting/panes/white_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:white_framed_glass quark:white_framed_glass_pane zeta:flag
quark:building/crafting/panes/yellow_framed_glass_pane | minecraft:crafting_shaped | minecraft:crafting_shaped quark:yellow_framed_glass quark:yellow_framed_glass_pane zeta:flag
quark:building/crafting/paper_lantern | minecraft:crafting_shaped | c:dusts/glowstone minecraft:bamboo minecraft:crafting_shaped minecraft:paper quark:paper_lantern zeta:flag
quark:building/crafting/paper_lantern_sakura | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:saplings quark:paper_lantern quark:paper_lantern_sakura zeta:flag
quark:building/crafting/posts/acacia_post | minecraft:crafting_shaped | minecraft:acacia_wood minecraft:crafting_shaped quark:acacia_post zeta:flag
quark:building/crafting/posts/bamboo_post | minecraft:crafting_shaped | minecraft:bamboo_block minecraft:crafting_shaped quark:bamboo_post zeta:flag
quark:building/crafting/posts/birch_post | minecraft:crafting_shaped | minecraft:birch_wood minecraft:crafting_shaped quark:birch_post zeta:flag
quark:building/crafting/posts/cherry_post | minecraft:crafting_shaped | minecraft:cherry_wood minecraft:crafting_shaped quark:cherry_post zeta:flag
quark:building/crafting/posts/crimson_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:crimson_hyphae quark:crimson_post zeta:flag
quark:building/crafting/posts/dark_oak_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dark_oak_wood quark:dark_oak_post zeta:flag
quark:building/crafting/posts/jungle_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:jungle_wood quark:jungle_post zeta:flag
quark:building/crafting/posts/mangrove_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:mangrove_wood quark:mangrove_post zeta:flag
quark:building/crafting/posts/oak_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:oak_wood quark:oak_post zeta:flag
quark:building/crafting/posts/spruce_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:spruce_wood quark:spruce_post zeta:flag
quark:building/crafting/posts/stripped_acacia_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stripped_acacia_wood quark:stripped_acacia_post zeta:flag
quark:building/crafting/posts/stripped_bamboo_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stripped_bamboo_block quark:stripped_bamboo_post zeta:flag
quark:building/crafting/posts/stripped_birch_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stripped_birch_wood quark:stripped_birch_post zeta:flag
quark:building/crafting/posts/stripped_cherry_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stripped_cherry_wood quark:stripped_cherry_post zeta:flag
quark:building/crafting/posts/stripped_crimson_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stripped_crimson_hyphae quark:stripped_crimson_post zeta:flag
quark:building/crafting/posts/stripped_dark_oak_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stripped_dark_oak_wood quark:stripped_dark_oak_post zeta:flag
quark:building/crafting/posts/stripped_jungle_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stripped_jungle_wood quark:stripped_jungle_post zeta:flag
quark:building/crafting/posts/stripped_mangrove_post | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:stripped_mangrove_wood quark:stripped_mangrove_post zeta:flag
