butchercraft:stuff_salami | butchercraft:grinder | butchercraft:extruder_tip butchercraft:grinder c:salami_mix extradelight:unripe_salami_item neoforge:mod_loaded
create:mixing/nut_butter_milkshake_ice_cream | create:mixing | create:mixing extradelight:nut_butter_ice_cream extradelight:nut_butter_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/onion_bhaji | create:mixing | c:cooking_oil c:flour create:mixing extradelight:curry_powder extradelight:onion_bhaji extradelight:processed/onion neoforge:mod_loaded
create:mixing/onion_soup | create:mixing | c:bread/sliced c:butter c:cheese create:mixing extradelight:broth extradelight:onion_soup extradelight:processed/onion minecraft:bowl neoforge:mod_loaded
create:mixing/oxtail_soup | create:mixing | c:beef/oxtail create:mixing extradelight:broth extradelight:oxtail_soup extradelight:processed/tomato minecraft:bowl minecraft:carrot neoforge:mod_loaded
create:mixing/pamonha | create:mixing | c:foods/milk c:seeds/corn create:mixing extradelight:corn_husk extradelight:pamonha neoforge:mod_loaded
create:mixing/pasta_alfredo | create:mixing | c:alfredo_sauce create:mixing extradelight:cooked_pasta extradelight:pasta_alfredo minecraft:bowl neoforge:mod_loaded
create:mixing/pasta_meatballs | create:mixing | create:mixing extradelight:cooked_pasta farmersdelight:beef_patty farmersdelight:pasta_with_meatballs farmersdelight:tomato_sauce minecraft:bowl neoforge:mod_loaded
create:mixing/pasta_mutton | create:mixing | create:mixing extradelight:cooked_pasta farmersdelight:pasta_with_mutton_chop farmersdelight:tomato_sauce minecraft:bowl minecraft:cooked_mutton neoforge:mod_loaded
create:mixing/pasta_tomato | create:mixing | create:mixing extradelight:cooked_pasta extradelight:pasta_tomato farmersdelight:tomato_sauce minecraft:bowl neoforge:mod_loaded
create:mixing/peanut_brittle | create:mixing | c:butter c:nuts/cooked create:mixing extradelight:peanut_brittle extradelight:sweetener neoforge:mod_loaded
create:mixing/penne_all_arrabbiata | create:mixing | c:cooking_oil create:mixing extradelight:penne extradelight:penne_all_arrabbiata extradelight:processed/chili extradelight:processed/garlic farmersdelight:tomato_sauce minecraft:bowl neoforge:mod_loaded
create:mixing/pork_stew | create:mixing | c:crops/onion c:flour create:mixing extradelight:broth extradelight:pork_stew_feast minecraft:carrot minecraft:porkchop minecraft:potato neoforge:mod_loaded
create:mixing/pork_tenderloin | create:mixing | create:mixing extradelight:breading_misanplas extradelight:pork_tenderloin minecraft:porkchop neoforge:mod_loaded
create:mixing/potato_salad | create:mixing | create:mixing extradelight:mayo_fluid extradelight:potato_salad extradelight:processed/onion minecraft:baked_potato minecraft:bowl neoforge:mod_loaded
create:mixing/potato_soup | create:mixing | c:crops/onion c:crops/potato c:foods/milk create:mixing extradelight:broth extradelight:potato_soup minecraft:bowl neoforge:mod_loaded
create:mixing/pulled_pork | create:mixing | c:pork/scrap/cooked create:mixing extradelight:bbq_fluid extradelight:pulled_pork_block_item minecraft:bowl neoforge:mod_loaded
create:mixing/pumpkin_cookie_dough | create:mixing | c:butter c:eggs c:flour create:mixing extradelight:pumpkin_cookie_dough extradelight:sweetener farmersdelight:pumpkin_slice neoforge:mod_loaded
create:mixing/pumpkin_cookie_dough_sugar | create:mixing | c:cookie_dough/sugar create:mixing extradelight:pumpkin_cookie_dough farmersdelight:pumpkin_slice neoforge:mod_loaded
create:mixing/pumpkin_custard | create:mixing | c:eggs c:foods/milk create:mixing extradelight:pumpkin_custard extradelight:sweetener farmersdelight:pumpkin_slice minecraft:glass_bottle neoforge:mod_loaded
create:mixing/pumpkin_milkshake | create:mixing | create:mixing extradelight:ice_cream extradelight:pumpkin_milkshake farmersdelight:pumpkin_slice minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/pumpkin_milkshake_ice_cream | create:mixing | create:mixing extradelight:pumpkin_ice_cream extradelight:pumpkin_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/rabbit_stew | create:mixing | c:crops/onion c:flour create:mixing extradelight:broth extradelight:rabbit_stew_feast minecraft:carrot minecraft:potato minecraft:rabbit neoforge:mod_loaded
create:mixing/rice_pudding | create:mixing | c:cinnamon/ground c:crops/rice c:foods/milk create:mixing extradelight:rice_pudding extradelight:sweetener minecraft:glass_bottle neoforge:mod_loaded
create:mixing/salad_meat | create:mixing | c:cheese c:croutons c:eggs/boiled c:meat/cooked create:mixing extradelight:oil_fluid extradelight:processed/cabbage extradelight:processed/carrot extradelight:processed/onion extradelight:salad_block_item extradelight:vinegar_fluid minecraft:bowl neoforge:mod_loaded
create:mixing/salad_veg | create:mixing | c:cheese c:eggs/boiled create:mixing extradelight:croutons extradelight:oil_fluid extradelight:processed/cabbage extradelight:processed/carrot extradelight:processed/onion extradelight:processed/vegetable extradelight:salad_block_item extradelight:vinegar_fluid minecraft:bowl neoforge:mod_loaded
create:mixing/salisbury_steak_feast | create:mixing | c:foods/onion c:mushrooms create:mixing extradelight:gravy_boat_item extradelight:salisbury_steak_block_item farmersdelight:minced_beef minecraft:bowl neoforge:mod_loaded
create:mixing/scotcharoos | create:mixing | c:butter c:butterscotch c:liquid_chocolate c:marshmallow c:nut_butter c:puffed_rice create:mixing extradelight:scotcharoo_block neoforge:mod_loaded
create:mixing/seaweed_crisps | create:mixing | c:flour create:mixing extradelight:frying_oil extradelight:seaweed_crisps minecraft:dried_kelp neoforge:mod_loaded
create:mixing/seaweed_paste | create:mixing | create:mixing extradelight:seaweed_paste minecraft:dried_kelp neoforge:mod_loaded
create:mixing/seaweed_salad | create:mixing | c:carrot/grated create:mixing extradelight:seaweed_salad extradelight:vinegar_fluid minecraft:bowl minecraft:kelp neoforge:mod_loaded
create:mixing/sos | create:mixing | c:beef/scrap c:flour c:foods/milk create:mixing extradelight:bread_slice extradelight:sos neoforge:mod_loaded
create:mixing/stewed_apples | create:mixing | c:apple/sliced c:butter create:mixing extradelight:stewed_apples extradelight:sweetener minecraft:bowl neoforge:mod_loaded
create:mixing/stiff_peaks_mixing | create:mixing | create:mixing extradelight:egg_white_fluid extradelight:stiff_peaks minecraft:bowl neoforge:mod_loaded
create:mixing/stirfry_feast | create:mixing | c:meat/raw create:mixing extradelight:processed/vegetable extradelight:stirfry_block_item minecraft:bowl neoforge:mod_loaded
create:mixing/stock | create:mixing | create:mixing extradelight:makes_stock farmersdelight:bone_broth minecraft:bone minecraft:bowl neoforge:mod_loaded
create:mixing/stuffed_cactus | create:mixing | c:cheese create:mixing extradelight:breading_misanplas extradelight:cooked_cactus extradelight:stuffed_cactus neoforge:mod_loaded
create:mixing/stuffing | create:mixing | c:butter c:eggs create:mixing extradelight:broth extradelight:croutons extradelight:processed/onion extradelight:stuffing_feast neoforge:mod_loaded
create:mixing/sugar_cookie_dough | create:mixing | c:butter c:eggs c:flour create:mixing extradelight:sugar_cookie_dough extradelight:sweetener neoforge:mod_loaded
create:mixing/sweet_berry_cookie_dough | create:mixing | c:butter c:eggs c:flour create:mixing extradelight:sweet_berry_cookie_dough extradelight:sweetener minecraft:sweet_berries neoforge:mod_loaded
create:mixing/sweet_berry_cookie_dough_sugar | create:mixing | c:cookie_dough/sugar create:mixing extradelight:sweet_berry_cookie_dough minecraft:sweet_berries neoforge:mod_loaded
create:mixing/sweet_berry_custard | create:mixing | c:eggs c:foods/milk create:mixing extradelight:sweet_berry_custard extradelight:sweetener minecraft:glass_bottle minecraft:sweet_berries neoforge:mod_loaded
create:mixing/sweet_berry_milkshake | create:mixing | create:mixing extradelight:ice_cream extradelight:sweet_berry_milkshake minecraft:glass_bottle minecraft:milk minecraft:sweet_berries neoforge:mod_loaded
create:mixing/sweet_berry_milkshake_ice_cream | create:mixing | create:mixing extradelight:sweet_berry_ice_cream extradelight:sweet_berry_milkshake minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/tea | create:mixing | c:tea_ingredients create:mixing extradelight:sweetener extradelight:tea minecraft:glass_bottle neoforge:mod_loaded
create:mixing/tomato_soup | create:mixing | c:crops/onion c:crops/tomato c:foods/milk create:mixing extradelight:broth extradelight:tomato_soup minecraft:bowl neoforge:mod_loaded
create:mixing/wheat_dough | create:mixing | c:flour create:mixing farmersdelight:wheat_dough minecraft:water neoforge:mod_loaded
create:mixing/wheat_dough_egg | create:mixing | c:eggs c:flour create:mixing farmersdelight:wheat_dough neoforge:mod_loaded
create:mixing/whipped_cream | create:mixing | create:mixing extradelight:whipped_cream minecraft:bowl minecraft:milk neoforge:mod_loaded
create:mixing/white_chili | create:mixing | c:foods/cooked_chicken c:foods/milk create:mixing extradelight:broth extradelight:processed/chili extradelight:processed/vegetable extradelight:white_chili_feast neoforge:mod_loaded
create:mixing/white_chocolate | create:mixing | create:mixing extradelight:cocoa_butter_fluid extradelight:sweetener extradelight:white_chocolate_syrup_bottle minecraft:glass_bottle minecraft:milk neoforge:mod_loaded
create:mixing/xocolatl | create:mixing | c:chili/powder c:foods/milk c:liquid_chocolate create:mixing extradelight:sweetener extradelight:xocolati minecraft:glass_bottle neoforge:mod_loaded
create:mixing/xocolatl_beans | create:mixing | c:chili/powder c:cocoa/powder c:foods/milk create:mixing extradelight:sweetener extradelight:xocolati minecraft:glass_bottle neoforge:mod_loaded
extradelight:acacia_dried_corn_fence | minecraft:crafting_shapeless | extradelight:acacia_dried_corn_fence extradelight:dried_corn_husk minecraft:acacia_fence minecraft:crafting_shapeless
extradelight:acacia_dried_corn_fence_back | minecraft:crafting_shapeless | extradelight:acacia_dried_corn_fence minecraft:acacia_fence minecraft:crafting_shapeless
extradelight:acacia_food_display | minecraft:crafting_shaped | extradelight:acacia_food_display minecraft:acacia_slab minecraft:crafting_shaped minecraft:stick
extradelight:acacia_knife_block | minecraft:crafting_shaped | c:tools/knife extradelight:acacia_knife_block minecraft:acacia_slab minecraft:crafting_shaped
extradelight:acacia_molded_black_wallpaper | minecraft:crafting_shapeless | c:dyes/black extradelight:acacia_molded_black_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_blue_wallpaper | minecraft:crafting_shapeless | c:dyes/blue extradelight:acacia_molded_blue_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_brown_wallpaper | minecraft:crafting_shapeless | c:dyes/brown extradelight:acacia_molded_brown_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_cyan_wallpaper | minecraft:crafting_shapeless | c:dyes/cyan extradelight:acacia_molded_cyan_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_gray_wallpaper | minecraft:crafting_shapeless | c:dyes/gray extradelight:acacia_molded_gray_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_green_wallpaper | minecraft:crafting_shapeless | c:dyes/green extradelight:acacia_molded_green_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_light_blue_wallpaper | minecraft:crafting_shapeless | c:dyes/light_blue extradelight:acacia_molded_light_blue_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_light_gray_wallpaper | minecraft:crafting_shapeless | c:dyes/light_gray extradelight:acacia_molded_light_gray_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_lime_wallpaper | minecraft:crafting_shapeless | c:dyes/lime extradelight:acacia_molded_lime_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_magenta_wallpaper | minecraft:crafting_shapeless | c:dyes/magenta extradelight:acacia_molded_magenta_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_orange_wallpaper | minecraft:crafting_shapeless | c:dyes/orange extradelight:acacia_molded_orange_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_pink_wallpaper | minecraft:crafting_shapeless | c:dyes/pink extradelight:acacia_molded_pink_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_purple_wallpaper | minecraft:crafting_shapeless | c:dyes/purple extradelight:acacia_molded_purple_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_red_wallpaper | minecraft:crafting_shapeless | c:dyes/red extradelight:acacia_molded_red_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_white_wallpaper | minecraft:crafting_shapeless | c:dyes/white extradelight:acacia_molded_white_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_molded_yellow_wallpaper | minecraft:crafting_shapeless | c:dyes/yellow extradelight:acacia_molded_yellow_wallpaper minecraft:acacia_slab minecraft:crafting_shapeless minecraft:paper
extradelight:acacia_spice_rack | minecraft:crafting_shaped | extradelight:acacia_spice_rack minecraft:acacia_slab minecraft:crafting_shaped minecraft:iron_bars minecraft:stick
extradelight:acacia_spice_rack_full | minecraft:crafting_shapeless | extradelight:acacia_spice_rack extradelight:acacia_spice_rack_full minecraft:crafting_shapeless minecraft:glass_bottle
extradelight:acacia_step_stool | minecraft:crafting_shaped | extradelight:acacia_step_stool minecraft:acacia_slab minecraft:crafting_shaped minecraft:stick
extradelight:acacia_wreath | minecraft:crafting_shaped | extradelight:acacia_wreath minecraft:acacia_leaves minecraft:crafting_shaped
extradelight:affogato | minecraft:crafting_shapeless | c:coffee c:ice_cream extradelight:affogato minecraft:crafting_shapeless
