create:acacia_window | minecraft:crafting_shaped | c:glass_blocks/colorless create:acacia_window minecraft:acacia_planks minecraft:crafting_shaped
create:crafting/kinetics/gray_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/gray create:gray_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/green_seat | minecraft:crafting_shapeless | create:green_seat minecraft:crafting_shapeless minecraft:green_wool minecraft:wooden_slabs
create:crafting/kinetics/green_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/green create:green_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/green_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/green create:green_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/hand_crank | minecraft:crafting_shaped | create:andesite_alloy create:hand_crank minecraft:crafting_shaped minecraft:planks
create:crafting/kinetics/hose_pulley | minecraft:crafting_shaped | c:plates/copper create:copper_casing create:hose_pulley minecraft:crafting_shaped minecraft:dried_kelp_block
create:crafting/kinetics/item_drain | minecraft:crafting_shaped | create:copper_casing create:item_drain minecraft:crafting_shaped minecraft:iron_bars
create:crafting/kinetics/item_vault | minecraft:crafting_shaped | c:barrels/wooden c:plates/iron create:item_vault minecraft:crafting_shaped
create:crafting/kinetics/large_cogwheel | minecraft:crafting_shapeless | create:large_cogwheel create:shaft minecraft:crafting_shapeless minecraft:planks
create:crafting/kinetics/large_cogwheel_from_little | minecraft:crafting_shapeless | create:cogwheel create:large_cogwheel minecraft:crafting_shapeless minecraft:planks
create:crafting/kinetics/large_water_wheel | minecraft:crafting_shaped | create:large_water_wheel create:water_wheel minecraft:crafting_shaped minecraft:planks
create:crafting/kinetics/light_blue_seat | minecraft:crafting_shapeless | create:light_blue_seat minecraft:crafting_shapeless minecraft:light_blue_wool minecraft:wooden_slabs
create:crafting/kinetics/light_blue_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/light_blue create:light_blue_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/light_blue_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/light_blue create:light_blue_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/light_gray_seat | minecraft:crafting_shapeless | create:light_gray_seat minecraft:crafting_shapeless minecraft:light_gray_wool minecraft:wooden_slabs
create:crafting/kinetics/light_gray_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/light_gray create:light_gray_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/light_gray_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/light_gray create:light_gray_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/lime_seat | minecraft:crafting_shapeless | create:lime_seat minecraft:crafting_shapeless minecraft:lime_wool minecraft:wooden_slabs
create:crafting/kinetics/lime_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/lime create:lime_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/lime_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/lime create:lime_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/linear_chassis | minecraft:crafting_shaped | create:andesite_alloy create:linear_chassis minecraft:crafting_shaped minecraft:logs
create:crafting/kinetics/linear_chassis_from_conversion | minecraft:crafting_shapeless | create:linear_chassis create:secondary_linear_chassis minecraft:crafting_shapeless
create:crafting/kinetics/magenta_seat | minecraft:crafting_shapeless | create:magenta_seat minecraft:crafting_shapeless minecraft:magenta_wool minecraft:wooden_slabs
create:crafting/kinetics/magenta_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/magenta create:magenta_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/magenta_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/magenta create:magenta_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/mechanical_arm | minecraft:crafting_shaped | c:plates/brass create:andesite_alloy create:brass_casing create:mechanical_arm create:precision_mechanism minecraft:crafting_shaped
create:crafting/kinetics/mechanical_bearing | minecraft:crafting_shaped | create:andesite_casing create:mechanical_bearing create:shaft minecraft:crafting_shaped minecraft:wooden_slabs
create:crafting/kinetics/mechanical_crafter | minecraft:crafting_shaped | create:brass_casing create:electron_tube create:mechanical_crafter minecraft:crafting_shaped minecraft:crafting_table
create:crafting/kinetics/mechanical_drill | minecraft:crafting_shaped | c:ingots/iron create:andesite_alloy create:andesite_casing create:mechanical_drill minecraft:crafting_shaped
create:crafting/kinetics/mechanical_harvester | minecraft:crafting_shaped | c:plates/iron create:andesite_alloy create:andesite_casing create:mechanical_harvester minecraft:crafting_shaped
create:crafting/kinetics/mechanical_mixer | minecraft:crafting_shaped | create:andesite_casing create:cogwheel create:mechanical_mixer create:whisk minecraft:crafting_shaped
create:crafting/kinetics/mechanical_piston | minecraft:crafting_shaped | create:andesite_casing create:mechanical_piston create:piston_extension_pole minecraft:crafting_shaped minecraft:wooden_slabs
create:crafting/kinetics/mechanical_plough | minecraft:crafting_shaped | c:plates/iron create:andesite_alloy create:andesite_casing create:mechanical_plough minecraft:crafting_shaped
create:crafting/kinetics/mechanical_press | minecraft:crafting_shaped | c:storage_blocks/iron create:andesite_casing create:mechanical_press create:shaft minecraft:crafting_shaped
create:crafting/kinetics/mechanical_pump | minecraft:crafting_shapeless | create:cogwheel create:fluid_pipe create:mechanical_pump minecraft:crafting_shapeless
create:crafting/kinetics/mechanical_roller | minecraft:crafting_shaped | create:andesite_casing create:crushing_wheel create:electron_tube create:mechanical_roller minecraft:crafting_shaped
create:crafting/kinetics/mechanical_saw | minecraft:crafting_shaped | c:ingots/iron c:plates/iron create:andesite_casing create:mechanical_saw minecraft:crafting_shaped
create:crafting/kinetics/metal_bracket | minecraft:crafting_shaped | c:ingots/iron c:nuggets/iron create:andesite_alloy create:metal_bracket minecraft:crafting_shaped
create:crafting/kinetics/metal_girder | minecraft:crafting_shaped | c:plates/iron create:andesite_alloy create:metal_girder minecraft:crafting_shaped
create:crafting/kinetics/millstone | minecraft:crafting_shaped | c:stones create:andesite_casing create:cogwheel create:millstone minecraft:crafting_shaped
create:crafting/kinetics/minecart_from_contraption_cart | minecraft:crafting_shapeless | create:minecart_contraption minecraft:crafting_shapeless minecraft:minecart
create:crafting/kinetics/mysterious_cuckoo_clock | minecraft:crafting_shaped | c:gunpowders create:cuckoo_clock create:mysterious_cuckoo_clock minecraft:crafting_shaped
create:crafting/kinetics/nixie_tube | minecraft:crafting_shapeless | create:electron_tube create:nixie_tube minecraft:crafting_shapeless
create:crafting/kinetics/nozzle | minecraft:crafting_shaped | create:andesite_alloy create:nozzle minecraft:crafting_shaped minecraft:wool
create:crafting/kinetics/orange_seat | minecraft:crafting_shapeless | create:orange_seat minecraft:crafting_shapeless minecraft:orange_wool minecraft:wooden_slabs
create:crafting/kinetics/orange_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/orange create:orange_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/orange_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/orange create:orange_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/package_filter | minecraft:crafting_shaped | c:nuggets/zinc create:package_filter minecraft:crafting_shaped minecraft:wool
create:crafting/kinetics/pink_seat | minecraft:crafting_shapeless | create:pink_seat minecraft:crafting_shapeless minecraft:pink_wool minecraft:wooden_slabs
create:crafting/kinetics/pink_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/pink create:pink_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/pink_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/pink create:pink_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/piston_extension_pole | minecraft:crafting_shaped | create:andesite_alloy create:piston_extension_pole minecraft:crafting_shaped minecraft:planks
create:crafting/kinetics/placard | minecraft:crafting_shapeless | c:plates/brass create:placard minecraft:crafting_shapeless minecraft:item_frame
create:crafting/kinetics/portable_fluid_interface | minecraft:crafting_shapeless | create:chute create:copper_casing create:portable_fluid_interface minecraft:crafting_shapeless
create:crafting/kinetics/portable_storage_interface | minecraft:crafting_shapeless | create:andesite_casing create:chute create:portable_storage_interface minecraft:crafting_shapeless
create:crafting/kinetics/propeller | minecraft:crafting_shaped | c:plates/iron create:andesite_alloy create:propeller minecraft:crafting_shaped
create:crafting/kinetics/purple_seat | minecraft:crafting_shapeless | create:purple_seat minecraft:crafting_shapeless minecraft:purple_wool minecraft:wooden_slabs
create:crafting/kinetics/purple_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/purple create:purple_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/purple_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/purple create:purple_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/radial_chassis | minecraft:crafting_shaped | create:andesite_alloy create:radial_chassis minecraft:crafting_shaped minecraft:logs
create:crafting/kinetics/red_seat | minecraft:crafting_shapeless | create:red_seat minecraft:crafting_shapeless minecraft:red_wool minecraft:wooden_slabs
create:crafting/kinetics/red_seat_from_other_seat | minecraft:crafting_shapeless | c:dyes/red create:red_seat create:seats minecraft:crafting_shapeless
create:crafting/kinetics/red_valve_handle_from_other_valve_handle | minecraft:crafting_shapeless | c:dyes/red create:red_valve_handle create:valve_handles minecraft:crafting_shapeless
create:crafting/kinetics/rope_pulley | minecraft:crafting_shaped | c:plates/iron create:andesite_casing create:rope_pulley minecraft:crafting_shaped minecraft:wool
create:crafting/kinetics/rose_quartz_lamp | minecraft:crafting_shapeless | c:dusts/redstone c:ingots/zinc create:polished_rose_quartz create:rose_quartz_lamp minecraft:crafting_shapeless
create:crafting/kinetics/rotation_speed_controller | minecraft:crafting_shaped | create:brass_casing create:precision_mechanism create:rotation_speed_controller minecraft:crafting_shaped
create:crafting/kinetics/sail_frame_from_conversion | minecraft:crafting_shapeless | create:sail_frame create:white_sail minecraft:crafting_shapeless
create:crafting/kinetics/schedule | minecraft:crafting_shapeless | c:plates/obsidian create:schedule minecraft:crafting_shapeless minecraft:paper
create:crafting/kinetics/secondary_linear_chassis_from_conversion | minecraft:crafting_shapeless | create:linear_chassis create:secondary_linear_chassis minecraft:crafting_shapeless
create:crafting/kinetics/sequenced_gearshift | minecraft:crafting_shapeless | create:brass_casing create:cogwheel create:electron_tube create:sequenced_gearshift minecraft:crafting_shapeless
create:crafting/kinetics/shaft | minecraft:crafting_shaped | create:andesite_alloy create:shaft minecraft:crafting_shaped
create:crafting/kinetics/smart_chute | minecraft:crafting_shaped | c:plates/brass create:chute create:electron_tube create:smart_chute minecraft:crafting_shaped
create:crafting/kinetics/smart_fluid_pipe | minecraft:crafting_shaped | c:plates/brass create:electron_tube create:fluid_pipe create:smart_fluid_pipe minecraft:crafting_shaped
create:crafting/kinetics/speedometer | minecraft:crafting_shaped | create:andesite_casing create:speedometer minecraft:compass minecraft:crafting_shaped
create:crafting/kinetics/speedometer_from_conversion | minecraft:crafting_shapeless | create:speedometer create:stressometer minecraft:crafting_shapeless
create:crafting/kinetics/spout | minecraft:crafting_shaped | create:copper_casing create:spout minecraft:crafting_shaped minecraft:dried_kelp
create:crafting/kinetics/steam_engine | minecraft:crafting_shaped | c:plates/gold c:storage_blocks/copper create:andesite_alloy create:steam_engine minecraft:crafting_shaped
create:crafting/kinetics/steam_whistle | minecraft:crafting_shaped | c:ingots/copper c:plates/gold create:steam_whistle minecraft:crafting_shaped
create:crafting/kinetics/sticker | minecraft:crafting_shaped | c:cobblestones c:dusts/redstone c:slimeballs create:andesite_alloy create:sticker minecraft:crafting_shaped
create:crafting/kinetics/sticky_mechanical_piston | minecraft:crafting_shaped | c:slimeballs create:mechanical_piston create:sticky_mechanical_piston minecraft:crafting_shaped
create:crafting/kinetics/stressometer_from_conversion | minecraft:crafting_shapeless | create:speedometer create:stressometer minecraft:crafting_shapeless
create:crafting/kinetics/super_glue | minecraft:crafting_shaped | c:nuggets/iron c:plates/iron c:slimeballs create:super_glue minecraft:crafting_shaped
