createfood:crafting/shaped/apple_cream_cake_from_shaped | minecraft:crafting_shaped | c:apple_cream_frosting_piping_bag c:cake_base createfood:apple_cream_cake createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_peanut_butter_from_shaped | minecraft:crafting_shaped | c:bread_slice c:peanut_butter createfood:bread_slice_peanut_butter createfood:enabled fabric:tags_populated minecraft:crafting_shaped minecraft:item neoforge:not neoforge:tag_empty
createfood:crafting/shaped/bread_slice_scrambled_egg_from_shaped | minecraft:crafting_shaped | c:bread_slice c:scrambled_eggs_plate createfood:bread_slice_scrambled_egg createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/bread_slice_tomato_from_shaped | minecraft:crafting_shaped | c:bread_slice c:tomato createfood:bread_slice_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/breakfast_plate_from_shaped | minecraft:crafting_shaped | c:hash_browns c:toast_fried_egg_plate createfood:breakfast_plate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/breakfast_plate_from_shaped_alt_2 | minecraft:crafting_shaped | c:hash_brown_fried_egg_plate c:toast_slice createfood:breakfast_plate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/breakfast_plate_from_shaped_alt_3 | minecraft:crafting_shaped | c:cooked_eggs c:hash_brown_toast_plate createfood:breakfast_plate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/brown_gelatin_dessert_block_from_shaped_alt | minecraft:crafting_shaped | c:dyes/brown c:gelatin_dessert_block createfood:brown_gelatin_dessert_block createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butter_from_shaped | minecraft:crafting_shaped | c:heavy_cream_bottle c:salt createfood:butter createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/buttered_toast_from_shaped | minecraft:crafting_shaped | c:butter c:toast createfood:buttered_toast createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_apple_from_shaped | minecraft:crafting_shaped | c:butterscotch createfood:butterscotch_apple createfood:enabled minecraft:apple minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_apple_slice_from_shaped | minecraft:crafting_shaped | c:apple_slice c:butterscotch createfood:butterscotch_apple_slice createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_berries_from_shaped | minecraft:crafting_shaped | c:butterscotch createfood:butterscotch_berries createfood:enabled minecraft:crafting_shaped minecraft:sweet_berries
createfood:crafting/shaped/butterscotch_chip_chocolate_milkshake_bottle_from_shaped | minecraft:crafting_shaped | c:butterscotch_chips c:chocolate_milkshake createfood:butterscotch_chip_chocolate_milkshake_bottle createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_chip_ice_cream_cone_from_shaped | minecraft:crafting_shaped | c:butterscotch_chips c:ice_cream_cone createfood:butterscotch_chip_ice_cream_cone createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_chocolate_from_shaped | minecraft:crafting_shaped | c:butterscotch c:hollow_chocolate createfood:butterscotch_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_chocolate_pastry_from_shaped | minecraft:crafting_shaped | c:butterscotch c:chocolate_pastry_base createfood:butterscotch_chocolate_pastry createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_chocolate_sweet_roll_from_shaped | minecraft:crafting_shaped | c:butterscotch c:chocolate_sweet_roll_base createfood:butterscotch_chocolate_sweet_roll createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_dark_chocolate_from_shaped | minecraft:crafting_shaped | c:butterscotch c:hollow_dark_chocolate createfood:butterscotch_dark_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_marshmallow_stick_from_shaped | minecraft:crafting_shaped | c:butterscotch c:marshmallow_stick createfood:butterscotch_marshmallow_stick createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_pastry_from_shaped | minecraft:crafting_shaped | c:butterscotch c:pastry_base createfood:butterscotch_pastry createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_pretzel_stick_from_shaped | minecraft:crafting_shaped | c:butterscotch c:pretzel_stick createfood:butterscotch_pretzel_stick createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_sweet_roll_from_shaped | minecraft:crafting_shaped | c:butterscotch c:sweet_roll_base createfood:butterscotch_sweet_roll createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_toast_from_shaped | minecraft:crafting_shaped | c:butterscotch c:toast createfood:butterscotch_toast createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/butterscotch_white_chocolate_from_shaped | minecraft:crafting_shaped | c:butterscotch c:hollow_white_chocolate createfood:butterscotch_white_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cacao_butter_bucket_from_shaped | minecraft:crafting_shaped | c:cloth_filter_cacao_mass createfood:cacao_butter_bucket createfood:enabled minecraft:bucket minecraft:crafting_shaped
createfood:crafting/shaped/caramel_apple_from_shaped | minecraft:crafting_shaped | c:caramel createfood:caramel_apple createfood:enabled minecraft:apple minecraft:crafting_shaped
createfood:crafting/shaped/caramel_apple_slice_from_shaped | minecraft:crafting_shaped | c:apple_slice c:caramel createfood:caramel_apple_slice createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_berries_from_shaped | minecraft:crafting_shaped | c:caramel createfood:caramel_berries createfood:enabled minecraft:crafting_shaped minecraft:sweet_berries
createfood:crafting/shaped/caramel_chip_chocolate_milkshake_bottle_from_shaped | minecraft:crafting_shaped | c:caramel_chips c:chocolate_milkshake createfood:caramel_chip_chocolate_milkshake_bottle createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_chip_ice_cream_cone_from_shaped | minecraft:crafting_shaped | c:caramel_chips c:ice_cream_cone createfood:caramel_chip_ice_cream_cone createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_chocolate_from_shaped | minecraft:crafting_shaped | c:caramel c:hollow_chocolate createfood:caramel_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_chocolate_pastry_from_shaped | minecraft:crafting_shaped | c:caramel c:chocolate_pastry_base createfood:caramel_chocolate_pastry createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_chocolate_sweet_roll_from_shaped | minecraft:crafting_shaped | c:caramel c:chocolate_sweet_roll_base createfood:caramel_chocolate_sweet_roll createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_dark_chocolate_from_shaped | minecraft:crafting_shaped | c:caramel c:hollow_dark_chocolate createfood:caramel_dark_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_marshmallow_stick_from_shaped | minecraft:crafting_shaped | c:caramel c:marshmallow_stick createfood:caramel_marshmallow_stick createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_pastry_from_shaped | minecraft:crafting_shaped | c:caramel c:pastry_base createfood:caramel_pastry createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_popcorn_from_shaped | minecraft:crafting_shaped | c:caramel c:popcorn createfood:caramel_popcorn createfood:enabled fabric:tags_populated minecraft:crafting_shaped minecraft:item neoforge:not neoforge:tag_empty
createfood:crafting/shaped/caramel_pretzel_stick_from_shaped | minecraft:crafting_shaped | c:caramel c:pretzel_stick createfood:caramel_pretzel_stick createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_sweet_roll_from_shaped | minecraft:crafting_shaped | c:caramel c:sweet_roll_base createfood:caramel_sweet_roll createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_toast_from_shaped | minecraft:crafting_shaped | c:caramel c:toast createfood:caramel_toast createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/caramel_white_chocolate_from_shaped | minecraft:crafting_shaped | c:caramel c:hollow_white_chocolate createfood:caramel_white_chocolate createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheese_biscuit_from_shaped | minecraft:crafting_shaped | c:biscuit c:cheeses createfood:cheese_biscuit createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheese_biscuit_sandwich_from_shaped | minecraft:crafting_shaped | c:biscuit c:cheese_biscuit createfood:cheese_biscuit_sandwich createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheese_pretzel_stick_from_shaped | minecraft:crafting_shaped | c:cheeses c:pretzel_stick createfood:cheese_pretzel_stick createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheese_sandwich_from_shaped | minecraft:crafting_shaped | c:bread_slice c:bread_slice_cheese createfood:cheese_sandwich createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_bacon_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_bacon c:bun createfood:cheeseburger_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_bacon_lettuce c:bun createfood:cheeseburger_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_bacon_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_bacon_lettuce_tomato c:bun createfood:cheeseburger_bacon_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese c:bun createfood:cheeseburger createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_lettuce c:bun createfood:cheeseburger_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_lettuce_tomato c:bun createfood:cheeseburger_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_onion_bacon_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_onion_bacon c:bun createfood:cheeseburger_onion_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_onion_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_onion_bacon_lettuce c:bun createfood:cheeseburger_onion_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_onion_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_onion c:bun createfood:cheeseburger_onion createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_onion_lettuce_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_onion_lettuce c:bun createfood:cheeseburger_onion_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_onion_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_onion_lettuce_tomato c:bun createfood:cheeseburger_onion_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/cheeseburger_tomato_from_shaped | minecraft:crafting_shaped | c:beef_bun_cheese_tomato c:bun createfood:cheeseburger_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_bacon_from_shaped | minecraft:crafting_shaped | c:chicken_bun c:cooked_pork createfood:chicken_bun_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:chicken_bun_lettuce c:cooked_pork createfood:chicken_bun_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_bacon_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:chicken_bun_bacon c:foods/leafy_green createfood:chicken_bun_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_bacon_from_shaped | minecraft:crafting_shaped | c:chicken_bun_cheese c:cooked_pork createfood:chicken_bun_cheese_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_bacon_from_shaped_alt_2 | minecraft:crafting_shaped | c:cheeses c:chicken_bun_bacon createfood:chicken_bun_cheese_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:chicken_bun_cheese_lettuce c:cooked_pork createfood:chicken_bun_cheese_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_bacon_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:cheeses c:chicken_bun_bacon_lettuce createfood:chicken_bun_cheese_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_from_shaped | minecraft:crafting_shaped | c:cheeses c:chicken_bun createfood:chicken_bun_cheese createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_lettuce_from_shaped | minecraft:crafting_shaped | c:chicken_bun_cheese c:foods/leafy_green createfood:chicken_bun_cheese_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_lettuce_from_shaped_alt_2 | minecraft:crafting_shaped | c:cheeses c:chicken_bun_lettuce createfood:chicken_bun_cheese_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:chicken_bun_cheese_lettuce c:tomato createfood:chicken_bun_cheese_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_lettuce_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:cheeses c:chicken_bun_lettuce_tomato createfood:chicken_bun_cheese_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_tomato_from_shaped | minecraft:crafting_shaped | c:chicken_bun_cheese c:tomato createfood:chicken_bun_cheese_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_cheese_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:cheeses c:chicken_bun_tomato createfood:chicken_bun_cheese_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_from_shaped | minecraft:crafting_shaped | c:bun c:chicken_patty createfood:chicken_bun createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_lettuce_from_shaped | minecraft:crafting_shaped | c:chicken_bun c:foods/leafy_green createfood:chicken_bun_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_lettuce_tomato_from_shaped | minecraft:crafting_shaped | c:chicken_bun_lettuce c:tomato createfood:chicken_bun_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_lettuce_tomato_from_shaped_alt_2 | minecraft:crafting_shaped | c:chicken_bun_tomato c:foods/leafy_green createfood:chicken_bun_lettuce_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_bun_tomato_from_shaped | minecraft:crafting_shaped | c:chicken_bun c:tomato createfood:chicken_bun_tomato createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_burger_bacon_from_shaped | minecraft:crafting_shaped | c:bun c:chicken_bun_bacon createfood:chicken_burger_bacon createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_burger_bacon_lettuce_from_shaped | minecraft:crafting_shaped | c:bun c:chicken_bun_bacon_lettuce createfood:chicken_burger_bacon_lettuce createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_burger_from_shaped | minecraft:crafting_shaped | c:bun c:chicken_bun createfood:chicken_burger createfood:enabled minecraft:crafting_shaped
createfood:crafting/shaped/chicken_burger_lettuce_from_shaped | minecraft:crafting_shaped | c:bun c:chicken_bun_lettuce createfood:chicken_burger_lettuce createfood:enabled minecraft:crafting_shaped
