ars_nouveau:agronomic_sourcelink | minecraft:crafting_shaped | ars_nouveau:agronomic_sourcelink c:gems/source c:ingots/gold minecraft:crafting_shaped minecraft:wheat
ars_nouveau:tomes/chems_tome | ars_nouveau:caster_tome | ars_nouveau:big_gust ars_nouveau:burst ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:delay ars_nouveau:dripping_water ars_nouveau:empty ars_nouveau:glow_ink ars_nouveau:glyph_launch ars_nouveau:glyph_linger ars_nouveau:glyph_projectile ars_nouveau:glyph_rune ars_nouveau:glyph_sensitive ars_nouveau:light ars_nouveau:linger ars_nouveau:mageblock ars_nouveau:new_glow ars_nouveau:ominous_spawning ars_nouveau:orbit ars_nouveau:pantomime ars_nouveau:pointed_dripstone_drip_lava ars_nouveau:pointed_dripstone_drip_water ars_nouveau:prestidigitation ars_nouveau:projectile ars_nouveau:rune ars_nouveau:tempestry_family ars_nouveau:trail ars_nouveau:upward_field ars_nouveau:warped_spore ars_nouveau:wind_charge_burst ars_nouveau:zigzag
ars_nouveau:tomes/chosenarchitect_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:gaia_family ars_nouveau:glyph_accelerate ars_nouveau:glyph_amplify ars_nouveau:glyph_exchange ars_nouveau:glyph_pickup ars_nouveau:glyph_projectile ars_nouveau:glyph_randomize
ars_nouveau:tomes/cocoaeyebrows_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_aoe ars_nouveau:glyph_break ars_nouveau:glyph_dampen ars_nouveau:glyph_pierce ars_nouveau:glyph_touch
ars_nouveau:tomes/crowdrone_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_extend_time ars_nouveau:glyph_light ars_nouveau:glyph_self ars_nouveau:glyph_sense_magic
ars_nouveau:tomes/darkfira_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_aoe ars_nouveau:glyph_burst ars_nouveau:glyph_conjure_water ars_nouveau:glyph_freeze ars_nouveau:glyph_lightning ars_nouveau:glyph_projectile ars_nouveau:glyph_sensitive ars_nouveau:tempestry_family
ars_nouveau:tomes/farfalla_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_conjure_water ars_nouveau:glyph_delay ars_nouveau:glyph_freeze ars_nouveau:glyph_ignite ars_nouveau:glyph_projectile
ars_nouveau:tomes/fireball_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_aoe ars_nouveau:glyph_explosion ars_nouveau:glyph_ignite ars_nouveau:glyph_projectile
ars_nouveau:tomes/frantastic_tome | ars_nouveau:caster_tome | ars_nouveau:bell_block ars_nouveau:burst ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:electric_spark ars_nouveau:empty ars_nouveau:end_portal_frame_fill ars_nouveau:glyph_lightning ars_nouveau:glyph_linger ars_nouveau:glyph_orbit ars_nouveau:glyph_projectile ars_nouveau:glyph_summon_decoy ars_nouveau:linger ars_nouveau:new_glow ars_nouveau:orbit ars_nouveau:projectile ars_nouveau:trail
ars_nouveau:tomes/glow_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_extend_time ars_nouveau:glyph_light ars_nouveau:glyph_rune ars_nouveau:glyph_snare ars_nouveau:glyph_touch
ars_nouveau:tomes/gootastic_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_delay ars_nouveau:glyph_launch ars_nouveau:glyph_projectile ars_nouveau:glyph_pull
ars_nouveau:tomes/ivy_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_animate_block ars_nouveau:glyph_extend_time ars_nouveau:glyph_name ars_nouveau:glyph_touch
ars_nouveau:tomes/kirin_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_blink ars_nouveau:glyph_self ars_nouveau:glyph_summon_decoy
ars_nouveau:tomes/lootz_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_explosion ars_nouveau:glyph_extend_time ars_nouveau:glyph_firework ars_nouveau:glyph_harm ars_nouveau:glyph_launch ars_nouveau:glyph_projectile
ars_nouveau:tomes/lufia_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_aoe ars_nouveau:glyph_intangible ars_nouveau:glyph_pierce ars_nouveau:glyph_projectile ars_nouveau:glyph_sensitive ars_nouveau:tempestry_family
ars_nouveau:tomes/lyrellion_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_accelerate ars_nouveau:glyph_amplify ars_nouveau:glyph_phantom_block ars_nouveau:glyph_pierce ars_nouveau:glyph_projectile ars_nouveau:glyph_sensitive ars_nouveau:glyph_wall
ars_nouveau:tomes/mystifi_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:fire_family_2 ars_nouveau:glyph_extend_time ars_nouveau:glyph_intangible ars_nouveau:glyph_linger ars_nouveau:glyph_pierce ars_nouveau:glyph_sensitive ars_nouveau:glyph_underfoot
ars_nouveau:tomes/nikk_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_aoe ars_nouveau:glyph_blink ars_nouveau:glyph_harm ars_nouveau:glyph_hex ars_nouveau:glyph_pickup ars_nouveau:glyph_projectile
ars_nouveau:tomes/othy_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_blink ars_nouveau:glyph_extend_time ars_nouveau:glyph_self ars_nouveau:glyph_summon_decoy
ars_nouveau:tomes/plauged757_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:gaia_family ars_nouveau:glyph_amplify ars_nouveau:glyph_aoe ars_nouveau:glyph_explosion ars_nouveau:glyph_self
ars_nouveau:tomes/poseidon_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_aoe ars_nouveau:glyph_break ars_nouveau:glyph_burst ars_nouveau:glyph_freeze ars_nouveau:glyph_light ars_nouveau:glyph_projectile ars_nouveau:glyph_sensitive ars_nouveau:tempestry_family
ars_nouveau:tomes/pranks_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_delay ars_nouveau:glyph_duration_down ars_nouveau:glyph_firework ars_nouveau:glyph_launch ars_nouveau:glyph_linger ars_nouveau:glyph_projectile ars_nouveau:glyph_summon_vex ars_nouveau:glyph_wind_shear
ars_nouveau:tomes/renew_rune_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_dispel ars_nouveau:glyph_heal ars_nouveau:glyph_rune ars_nouveau:glyph_touch
ars_nouveau:tomes/riftderp_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_accelerate ars_nouveau:glyph_blink ars_nouveau:glyph_harm ars_nouveau:glyph_projectile
ars_nouveau:tomes/sebuss_tome | ars_nouveau:caster_tome | ars_nouveau:burst ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:empty ars_nouveau:enchant ars_nouveau:fire_family_2 ars_nouveau:flame ars_nouveau:glyph_aoe ars_nouveau:glyph_ignite ars_nouveau:glyph_projectile ars_nouveau:glyph_sensitive ars_nouveau:glyph_smelt ars_nouveau:helix ars_nouveau:light ars_nouveau:mageblock ars_nouveau:new_glow ars_nouveau:projectile ars_nouveau:touch ars_nouveau:wololo
ars_nouveau:tomes/shadow_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_aoe ars_nouveau:glyph_extend_time ars_nouveau:glyph_intangible ars_nouveau:glyph_pierce ars_nouveau:glyph_touch
ars_nouveau:tomes/shoob_tome | ars_nouveau:caster_tome | ars_nouveau:burst ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_aoe ars_nouveau:glyph_blink ars_nouveau:glyph_explosion ars_nouveau:glyph_extend_time ars_nouveau:glyph_invisibility ars_nouveau:glyph_self ars_nouveau:glyph_summon_decoy ars_nouveau:new_glow ars_nouveau:orbit ars_nouveau:self ars_nouveau:totem_use ars_nouveau:touch ars_nouveau:trail ars_nouveau:warped_spore
ars_nouveau:tomes/silvanus_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_extend_time ars_nouveau:glyph_light ars_nouveau:glyph_touch
ars_nouveau:tomes/sloppybox_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_pierce ars_nouveau:glyph_rune ars_nouveau:glyph_smelt ars_nouveau:glyph_touch
ars_nouveau:tomes/spinoftw_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_aoe ars_nouveau:glyph_conjure_water ars_nouveau:glyph_heal ars_nouveau:glyph_phantom_block ars_nouveau:glyph_self
ars_nouveau:tomes/takeoff_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_duration_down ars_nouveau:glyph_glide ars_nouveau:glyph_launch ars_nouveau:glyph_self
ars_nouveau:tomes/toxin_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_extend_time ars_nouveau:glyph_harm ars_nouveau:glyph_hex ars_nouveau:glyph_projectile
ars_nouveau:tomes/treeleafs_tome | ars_nouveau:caster_tome | ars_nouveau:allay_death ars_nouveau:burst ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:empty ars_nouveau:glow_squid ars_nouveau:glyph_aoe ars_nouveau:glyph_burst ars_nouveau:glyph_grow ars_nouveau:glyph_harvest ars_nouveau:glyph_pickup ars_nouveau:glyph_self ars_nouveau:glyph_sensitive ars_nouveau:new_glow ars_nouveau:projectile ars_nouveau:self ars_nouveau:trail
ars_nouveau:tomes/uni_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_gust ars_nouveau:glyph_orbit ars_nouveau:glyph_self
ars_nouveau:tomes/vault_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_delay ars_nouveau:glyph_launch ars_nouveau:glyph_leap ars_nouveau:glyph_self ars_nouveau:glyph_slowfall
ars_nouveau:tomes/warp_impact_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_aoe ars_nouveau:glyph_blink ars_nouveau:glyph_explosion ars_nouveau:glyph_projectile
ars_nouveau:tomes/worsecookie_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_hex ars_nouveau:glyph_rune ars_nouveau:glyph_touch ars_nouveau:glyph_wither
ars_nouveau:tomes/xacris_2_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_aoe ars_nouveau:glyph_extend_time ars_nouveau:glyph_firework ars_nouveau:glyph_projectile ars_nouveau:glyph_sensitive ars_nouveau:glyph_wall
ars_nouveau:tomes/xacris_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_aoe ars_nouveau:glyph_phantom_block ars_nouveau:glyph_pierce ars_nouveau:glyph_underfoot
ars_nouveau:tomes/yeet_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_delay ars_nouveau:glyph_gust ars_nouveau:glyph_launch ars_nouveau:glyph_orbit ars_nouveau:glyph_self
ars_nouveau:tomes/yuukiukami_tome | ars_nouveau:caster_tome | ars_nouveau:caster_tome ars_nouveau:constant ars_nouveau:glyph_amplify ars_nouveau:glyph_break ars_nouveau:glyph_extract ars_nouveau:glyph_pickup ars_nouveau:glyph_projectile
ars_nouveau:unbreaking_1 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/lapis c:storage_blocks/source minecraft:unbreaking
ars_nouveau:unbreaking_2 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/lapis c:storage_blocks/source minecraft:unbreaking
ars_nouveau:unbreaking_3 | ars_nouveau:enchantment | ars_nouveau:abjuration_essence ars_nouveau:enchantment c:gems/diamond c:storage_blocks/lapis c:storage_blocks/source minecraft:unbreaking
ars_nouveau:vitalic_sourcelink | minecraft:crafting_shaped | ars_nouveau:vitalic_sourcelink c:gems/source c:ingots/gold minecraft:crafting_shaped minecraft:glistering_melon_slice
ars_nouveau:void_jar | ars_nouveau:enchanting_apparatus | ars_nouveau:allow_scroll ars_nouveau:enchanting_apparatus ars_nouveau:void_jar c:ender_pearls minecraft:bucket minecraft:glass_bottle minecraft:lava_bucket
ars_nouveau:void_prism | minecraft:crafting_shaped | ars_nouveau:spell_prism ars_nouveau:void_prism c:obsidians minecraft:crafting_shaped
ars_nouveau:volcanic_sourcelink | minecraft:crafting_shaped | ars_nouveau:volcanic_sourcelink c:gems/source c:ingots/gold minecraft:crafting_shaped minecraft:lava_bucket
ars_nouveau:wand | ars_nouveau:enchanting_apparatus | ars_nouveau:air_essence ars_nouveau:enchanting_apparatus ars_nouveau:manipulation_essence ars_nouveau:wand c:gems/source c:ingots/gold c:logs/archwood
ars_nouveau:warp_scroll | minecraft:crafting_shapeless | ars_nouveau:blank_parchment ars_nouveau:warp_scroll c:gems/lapis c:gems/source minecraft:crafting_shapeless
ars_nouveau:warp_scroll_copy | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:warp_scroll
ars_nouveau:water_essence_to_bucket | minecraft:crafting_shapeless | ars_nouveau:water_essence minecraft:bucket minecraft:crafting_shapeless minecraft:water_bucket
ars_nouveau:water_essence_to_obsidian | minecraft:crafting_shapeless | ars_nouveau:water_essence minecraft:crafting_shapeless minecraft:lava_bucket minecraft:obsidian
ars_nouveau:whirlisprig_charm | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:magebloom ars_nouveau:magebloom_crop ars_nouveau:whirlisprig_charm ars_nouveau:whirlisprig_shards c:gems/diamond c:gems/source c:seeds/wheat minecraft:birch_sapling minecraft:oak_sapling minecraft:spruce_sapling
ars_nouveau:white_dye | ars_nouveau:crush | ars_nouveau:crush minecraft:lily_of_the_valley minecraft:white_dye
ars_nouveau:wilden_summon_alt | minecraft:crafting_shapeless | ars_nouveau:purple_archwood_log ars_nouveau:ritual_wilden_summon minecraft:bow minecraft:crafting_shapeless minecraft:emerald_block minecraft:iron_sword minecraft:lapis_block
ars_nouveau:wing_to_leather | minecraft:crafting_shapeless | ars_nouveau:wilden_wing minecraft:crafting_shapeless minecraft:leather
ars_nouveau:wipe_spell_parchment | minecraft:crafting_shapeless | ars_nouveau:blank_parchment ars_nouveau:spell_parchment minecraft:crafting_shapeless
ars_nouveau:wixie_charm | ars_nouveau:enchanting_apparatus | ars_nouveau:enchanting_apparatus ars_nouveau:wixie_charm ars_nouveau:wixie_shards c:gems/emerald minecraft:brewing_stand minecraft:crafting_table minecraft:saplings
ars_nouveau:wixie_hat | minecraft:crafting_shaped | ars_nouveau:magebloom_fiber ars_nouveau:wixie_hat c:ingots/gold minecraft:crafting_shaped
ars_nouveau:wololo | ars_nouveau:glyph | ars_nouveau:abjuration_essence ars_nouveau:glyph ars_nouveau:wololo c:dyes
ars_nouveau:worn_notebook | minecraft:crafting_shapeless | ars_nouveau:worn_notebook c:gems/lapis minecraft:book minecraft:crafting_shapeless
ars_nouveau:yellow_dye | ars_nouveau:crush | ars_nouveau:crush minecraft:dandelion minecraft:yellow_dye
ars_nouveau:yellow_dye_sunflower | ars_nouveau:crush | ars_nouveau:crush minecraft:sunflower minecraft:yellow_dye
ars_nouveau:yellow_sbed | minecraft:crafting_shapeless | ars_nouveau:summon_bed ars_nouveau:yellow_sbed c:dyes/yellow minecraft:crafting_shapeless
