minecraft:golem_slicing_axe | minecraft:smithing_transform | minecraft:netherite_upgrade_smithing_template minecraft:smithing_transform minecraft:stonecutter modulargolems:diamond_golem_axe modulargolems:golem_slicing_axe
modulargolems:thunder_immune | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:lightning_rod modulargolems:empty_upgrade modulargolems:thunder_immune
modulargolems:unobtainium_expansion_template | minecraft:crafting_shaped | allthemodium:unobtainium_ingot allthemodium:unobtainium_upgrade_smithing_template minecraft:crafting_shaped modulargolems:empty_upgrade modulargolems:netherite_expansion_template modulargolems:unobtainium_expansion_template modulargolems:vibranium_expansion_template neoforge:mod_loaded
modulargolems:vibranium_expansion_template | minecraft:crafting_shaped | allthemodium:vibranium_ingot allthemodium:vibranium_upgrade_smithing_template minecraft:crafting_shaped modulargolems:allthemodium_expansion_template modulargolems:empty_upgrade modulargolems:netherite_expansion_template modulargolems:vibranium_expansion_template neoforge:mod_loaded
modulargolems:void_construct | minecraft:crafting_shaped | cataclysm:void_core cataclysm:void_jaw minecraft:crafting_shaped modulargolems:void_construct modulargolems:void_cube neoforge:mod_loaded
modulargolems:void_cube | minecraft:crafting_shaped | cataclysm:void_jaw minecraft:crafting_shaped minecraft:end_stone minecraft:obsidian minecraft:purpur_block minecraft:shulker_shell modulargolems:void_cube neoforge:mod_loaded
modulargolems:weak | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dragon_breath minecraft:fermented_spider_eye minecraft:redstone modulargolems:empty_upgrade modulargolems:weak
modulargolems:white_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:white_dye modulargolems:config_card modulargolems:white_config_card
modulargolems:wind_spirit_boots | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond_boots minecraft:lapis_lazuli modulargolems:metal_golem_template modulargolems:wind_spirit_boots
modulargolems:wind_spirit_chestplate | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond_chestplate minecraft:lapis_lazuli modulargolems:metal_golem_template modulargolems:wind_spirit_chestplate
modulargolems:wind_spirit_helmet | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond_helmet minecraft:lapis_lazuli modulargolems:metal_golem_template modulargolems:wind_spirit_helmet
modulargolems:wind_spirit_shinguard | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:diamond_leggings minecraft:lapis_lazuli modulargolems:metal_golem_template modulargolems:wind_spirit_shinguard
modulargolems:wither | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:dragon_breath minecraft:redstone minecraft:wither_rose modulargolems:empty_upgrade modulargolems:wither
modulargolems:wroughtnaut | minecraft:crafting_shapeless | minecraft:crafting_shapeless modulargolems:empty_upgrade modulargolems:wroughtnaut modulargolems:wroughtnaut_items neoforge:mod_loaded
modulargolems:wroughtnaut_ingot | minecraft:crafting_shaped | minecraft:crafting_shaped minecraft:iron_ingot modulargolems:metal_golem_template modulargolems:wroughtnaut_ingot modulargolems:wroughtnaut_items neoforge:mod_loaded
modulargolems:yellow_config_card | minecraft:crafting_shapeless | minecraft:crafting_shapeless minecraft:yellow_dye modulargolems:config_card modulargolems:yellow_config_card
